client_id,canal_principal,score_intensite,niveau_engagement,statut,produits_actuels,opportunites,produit_recommande,canal_recommande
CLI00054,app_mobile,0.6558,Engagé,client_actif,"['auto', 'prevoyance', 'habitation', 'sante']",['epargne'],epargne,agence
CLI00055,telephone,0.3915,Peu engagé,client_inactif,,,,
CLI00056,app_mobile,0.3698,Peu engagé,client_actif,"['epargne', 'habitation', 'sante', 'auto']",['prevoyance'],prevoyance,agence
CLI00057,telephone,0.6605,Engagé,client_actif,"['prevoyance', 'epargne']","['auto', 'habitation', 'sante']",sante,telephone
CLI00058,telephone,0.5882,Engagé,client_actif,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI00059,app_mobile,0.602,Engagé,client_actif,"['prevoyance', 'epargne', 'habitation', 'auto']",['sante'],sante,telephone
CLI00060,telephone,0.5662,Engagé,prospect,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00061,web,0.5144,Engagé,prospect,"['prevoyance', 'auto', 'habitation', 'epargne']",['sante'],sante,telephone
CLI00062,app_mobile,0.3854,Peu engagé,prospect,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00063,web,0.5182,Engagé,client_inactif,,,,
CLI00064,app_mobile,0.7463,Engagé,client_actif,"['prevoyance', 'epargne', 'habitation']","['auto', 'sante']",sante,telephone
CLI00065,agence,0.8639,Très engagé,client_actif,"['habitation', 'sante']","['auto', 'prevoyance', 'epargne']",prevoyance,agence
CLI00066,agence,0.5706,Engagé,client_inactif,"['sante', 'prevoyance', 'epargne']","['auto', 'habitation']",auto,web
CLI00067,web,0.8799,Très engagé,client_actif,"['habitation', 'epargne']","['auto', 'sante', 'prevoyance']",sante,telephone
CLI00068,app_mobile,0.7876,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00069,web,0.7449,Engagé,client_actif,"['prevoyance', 'epargne']","['auto', 'habitation', 'sante']",sante,telephone
CLI00070,agence,0.3125,Peu engagé,résilié,,,,
CLI00071,web,0.2981,Peu engagé,client_inactif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00072,telephone,0.3803,Peu engagé,client_inactif,"['auto', 'epargne']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI00073,web,0.5885,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00074,web,0.4467,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00075,telephone,0.4069,Peu engagé,prospect,"['sante', 'habitation', 'prevoyance']","['auto', 'epargne']",epargne,agence
CLI00076,app_mobile,0.2959,Peu engagé,prospect,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00077,web,0.5452,Engagé,prospect,"['epargne', 'prevoyance']","['auto', 'habitation', 'sante']",sante,telephone
CLI00078,app_mobile,0.8198,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00079,web,0.7878,Très engagé,client_actif,"['epargne', 'habitation', 'sante', 'auto']",['prevoyance'],prevoyance,agence
CLI00080,email,0.5085,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00081,app_mobile,0.4432,Peu engagé,prospect,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00082,web,0.6288,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00083,app_mobile,0.434,Peu engagé,client_inactif,,,,
CLI00084,web,0.6793,Engagé,client_actif,"['habitation', 'prevoyance', 'epargne']","['auto', 'sante']",sante,telephone
CLI00085,agence,0.368,Peu engagé,client_inactif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00086,telephone,0.5775,Engagé,client_actif,"['auto', 'sante', 'habitation']","['prevoyance', 'epargne']",prevoyance,agence
CLI00087,telephone,0.4841,Peu engagé,client_inactif,,,,
CLI00088,web,0.8062,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00089,web,0.6359,Engagé,client_actif,,,,
CLI00090,web,0.4452,Peu engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00091,agence,0.5527,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00092,app_mobile,0.4895,Peu engagé,client_inactif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00093,app_mobile,0.6672,Engagé,client_actif,"['epargne', 'sante', 'habitation', 'auto']",['prevoyance'],prevoyance,agence
CLI00094,telephone,0.4589,Peu engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00095,web,0.5308,Engagé,client_inactif,,,,
CLI00096,web,0.7813,Très engagé,client_actif,"['sante', 'prevoyance']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00097,web,0.7458,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00098,web,0.6364,Engagé,client_actif,"['sante', 'auto', 'habitation', 'epargne']",['prevoyance'],prevoyance,agence
CLI00099,web,0.7149,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00100,app_mobile,0.6353,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00101,web,0.4938,Peu engagé,client_actif,"['prevoyance', 'sante']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00102,web,0.274,Peu engagé,résilié,,,,
CLI00103,agence,0.6151,Engagé,client_actif,"['prevoyance', 'epargne']","['auto', 'habitation', 'sante']",sante,telephone
CLI00104,web,0.5399,Engagé,client_actif,"['habitation', 'auto', 'epargne']","['sante', 'prevoyance']",sante,telephone
CLI00105,agence,0.7012,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00106,web,0.2986,Peu engagé,résilié,,,,
CLI00107,app_mobile,0.2763,Peu engagé,client_inactif,"['epargne', 'habitation', 'sante']","['auto', 'prevoyance']",prevoyance,agence
CLI00108,telephone,0.4148,Peu engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00109,web,0.3858,Peu engagé,client_inactif,,,,
CLI00110,app_mobile,0.814,Très engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00111,telephone,0.5286,Engagé,client_actif,"['sante', 'auto']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00112,app_mobile,0.7001,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00113,web,0.5142,Engagé,client_actif,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00114,app_mobile,0.7324,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00115,agence,0.3285,Peu engagé,résilié,,,,
CLI00116,telephone,0.9005,Très engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00117,web,0.3876,Peu engagé,résilié,,,,
CLI00118,web,0.7412,Engagé,client_actif,,,,
CLI00119,web,0.449,Peu engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00120,web,0.8739,Très engagé,client_actif,"['habitation', 'epargne']","['auto', 'sante', 'prevoyance']",sante,telephone
CLI00121,web,0.5076,Engagé,prospect,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00122,web,0.8469,Très engagé,client_actif,"['sante', 'auto']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00123,web,0.638,Engagé,prospect,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00124,web,0.7703,Très engagé,client_actif,"['sante', 'auto']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00125,telephone,0.8902,Très engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00126,web,0.3496,Peu engagé,client_inactif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00127,web,0.7395,Engagé,client_actif,"['prevoyance', 'epargne']","['auto', 'habitation', 'sante']",sante,telephone
CLI00128,web,0.8357,Très engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00129,telephone,0.4449,Peu engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00130,agence,0.3675,Peu engagé,résilié,,,,
CLI00131,agence,0.4416,Peu engagé,client_inactif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00132,web,0.7552,Très engagé,client_actif,"['epargne', 'auto', 'sante', 'habitation']",['prevoyance'],prevoyance,agence
CLI00133,telephone,0.8003,Très engagé,client_actif,"['habitation', 'prevoyance']","['auto', 'sante', 'epargne']",sante,telephone
CLI00134,app_mobile,0.4146,Peu engagé,prospect,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00135,web,0.2641,Peu engagé,résilié,,,,
CLI00136,app_mobile,0.7308,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00137,telephone,0.8225,Très engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00138,agence,0.6645,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00139,telephone,0.5172,Engagé,prospect,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00140,telephone,0.3885,Peu engagé,résilié,,,,
CLI00141,web,0.7719,Très engagé,client_actif,,,,
CLI00142,app_mobile,0.6653,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00143,web,0.8518,Très engagé,client_actif,"['sante', 'habitation', 'prevoyance']","['auto', 'epargne']",epargne,agence
CLI00144,telephone,0.3601,Peu engagé,client_inactif,,,,
CLI00145,web,0.3196,Peu engagé,client_inactif,"['epargne', 'prevoyance']","['auto', 'habitation', 'sante']",sante,telephone
CLI00146,telephone,0.6491,Engagé,client_actif,"['habitation', 'auto']","['sante', 'prevoyance', 'epargne']",sante,telephone
CLI00147,web,0.6441,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00148,app_mobile,0.5415,Engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00149,web,0.4712,Peu engagé,prospect,"['auto', 'epargne', 'habitation', 'sante']",['prevoyance'],prevoyance,agence
CLI00150,web,0.6596,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00151,telephone,0.6856,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00152,web,0.4012,Peu engagé,résilié,,,,
CLI00153,app_mobile,0.6429,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00154,web,0.41,Peu engagé,client_inactif,,,,
CLI00155,app_mobile,0.6677,Engagé,client_actif,"['prevoyance', 'sante', 'habitation', 'auto']",['epargne'],epargne,agence
CLI00156,web,0.7916,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00157,web,0.6817,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00158,telephone,0.6961,Engagé,client_actif,,,,
CLI00159,app_mobile,0.8111,Très engagé,client_actif,"['epargne', 'sante']","['auto', 'habitation', 'prevoyance']",prevoyance,agence
CLI00160,web,0.6231,Engagé,client_actif,"['auto', 'habitation']","['sante', 'prevoyance', 'epargne']",sante,telephone
CLI00161,app_mobile,0.4635,Peu engagé,prospect,,,,
CLI00162,web,0.3594,Peu engagé,client_inactif,,,,
CLI00163,web,0.4043,Peu engagé,résilié,,,,
CLI00164,app_mobile,0.8016,Très engagé,client_actif,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI00165,web,0.6464,Engagé,client_actif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00166,agence,0.3555,Peu engagé,prospect,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00167,app_mobile,0.479,Peu engagé,client_actif,,,,
CLI00168,agence,0.4028,Peu engagé,client_inactif,"['prevoyance', 'auto', 'epargne']","['habitation', 'sante']",sante,telephone
CLI00169,telephone,0.4574,Peu engagé,prospect,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00170,web,0.7832,Très engagé,client_actif,"['sante', 'prevoyance', 'auto']","['habitation', 'epargne']",epargne,agence
CLI00171,web,0.3351,Peu engagé,client_inactif,,,,
CLI00172,web,0.5725,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00173,web,0.3487,Peu engagé,prospect,"['habitation', 'sante', 'auto']","['prevoyance', 'epargne']",prevoyance,agence
CLI00174,telephone,0.8016,Très engagé,client_actif,"['sante', 'habitation', 'auto']","['prevoyance', 'epargne']",prevoyance,agence
CLI00175,agence,0.6226,Engagé,client_actif,"['prevoyance', 'sante']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00176,app_mobile,0.8135,Très engagé,client_actif,"['sante', 'auto']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00177,app_mobile,0.3923,Peu engagé,client_inactif,,,,
CLI00178,web,0.2766,Peu engagé,client_inactif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00179,app_mobile,0.7081,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00180,agence,0.3878,Peu engagé,résilié,,,,
CLI00181,app_mobile,0.5037,Engagé,client_actif,"['sante', 'epargne']","['auto', 'habitation', 'prevoyance']",prevoyance,agence
CLI00182,web,0.3961,Peu engagé,client_inactif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00183,agence,0.8505,Très engagé,client_actif,"['auto', 'habitation', 'prevoyance', 'sante']",['epargne'],epargne,agence
CLI00184,app_mobile,0.5041,Engagé,client_inactif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00185,app_mobile,0.1805,Dormant,résilié,,,,
CLI00186,app_mobile,0.5099,Engagé,prospect,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI00187,app_mobile,0.4287,Peu engagé,résilié,,,,
CLI00188,agence,0.431,Peu engagé,client_inactif,,,,
CLI00189,telephone,0.4558,Peu engagé,client_inactif,"['prevoyance', 'epargne']","['auto', 'habitation', 'sante']",sante,telephone
CLI00190,web,0.4785,Peu engagé,client_actif,"['sante', 'prevoyance', 'habitation']","['auto', 'epargne']",epargne,agence
CLI00191,telephone,0.3993,Peu engagé,client_inactif,,,,
CLI00192,app_mobile,0.2482,Dormant,client_inactif,,,,
CLI00193,agence,0.5461,Engagé,client_actif,"['epargne', 'habitation', 'prevoyance']","['auto', 'sante']",sante,telephone
CLI00194,telephone,0.438,Peu engagé,résilié,,,,
CLI00195,app_mobile,0.1981,Dormant,prospect,"['epargne', 'habitation', 'sante']","['auto', 'prevoyance']",prevoyance,agence
CLI00196,telephone,0.3586,Peu engagé,prospect,"['auto', 'prevoyance', 'habitation']","['sante', 'epargne']",sante,telephone
CLI00197,web,0.4157,Peu engagé,client_actif,"['sante', 'epargne']","['auto', 'habitation', 'prevoyance']",prevoyance,agence
CLI00198,web,0.7473,Engagé,client_actif,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00199,agence,0.7354,Engagé,client_actif,"['epargne', 'sante']","['auto', 'habitation', 'prevoyance']",prevoyance,agence
CLI00200,telephone,0.4458,Peu engagé,prospect,"['sante', 'epargne']","['auto', 'habitation', 'prevoyance']",prevoyance,agence
CLI00201,telephone,0.4232,Peu engagé,résilié,,,,
CLI00202,agence,0.517,Engagé,prospect,"['sante', 'habitation']","['auto', 'prevoyance', 'epargne']",prevoyance,agence
CLI00203,app_mobile,0.5129,Engagé,prospect,,,,
CLI00204,web,0.4843,Peu engagé,prospect,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00205,email,0.671,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00206,web,0.4063,Peu engagé,résilié,,,,
CLI00207,agence,0.8164,Très engagé,client_actif,"['auto', 'sante', 'epargne']","['habitation', 'prevoyance']",prevoyance,agence
CLI00208,app_mobile,0.4326,Peu engagé,client_inactif,"['prevoyance', 'auto']","['habitation', 'sante', 'epargne']",sante,telephone
CLI00209,agence,0.5344,Engagé,prospect,"['prevoyance', 'habitation']","['auto', 'sante', 'epargne']",sante,telephone
CLI00210,app_mobile,0.6918,Engagé,client_actif,"['habitation', 'prevoyance']","['auto', 'sante', 'epargne']",sante,telephone
CLI00211,email,0.5717,Engagé,client_actif,"['auto', 'habitation', 'sante']","['prevoyance', 'epargne']",prevoyance,agence
CLI00212,app_mobile,0.7014,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00213,telephone,0.3924,Peu engagé,prospect,"['habitation', 'auto', 'prevoyance', 'epargne']",['sante'],sante,telephone
CLI00214,web,0.4898,Peu engagé,client_actif,"['habitation', 'epargne']","['auto', 'sante', 'prevoyance']",sante,telephone
CLI00215,app_mobile,0.7427,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00216,agence,0.3306,Peu engagé,client_inactif,,,,
CLI00217,agence,0.6866,Engagé,client_actif,['prevoyance'],"['auto', 'habitation', 'sante', 'epargne']",sante,telephone
CLI00218,telephone,0.4977,Peu engagé,prospect,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00219,web,0.8296,Très engagé,client_actif,"['sante', 'epargne']","['auto', 'habitation', 'prevoyance']",prevoyance,agence
CLI00220,web,0.7642,Très engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00221,app_mobile,0.4611,Peu engagé,client_inactif,"['prevoyance', 'auto']","['habitation', 'sante', 'epargne']",sante,telephone
CLI00222,web,0.4207,Peu engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00223,email,0.6124,Engagé,client_actif,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00224,web,0.3349,Peu engagé,résilié,,,,
CLI00225,app_mobile,0.457,Peu engagé,client_actif,,,,
CLI00226,web,0.4993,Peu engagé,prospect,"['epargne', 'sante', 'auto']","['habitation', 'prevoyance']",prevoyance,agence
CLI00227,app_mobile,0.6926,Engagé,client_actif,"['epargne', 'auto']","['habitation', 'sante', 'prevoyance']",sante,telephone
CLI00228,app_mobile,0.5312,Engagé,client_actif,"['prevoyance', 'sante']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00229,web,0.2827,Peu engagé,client_inactif,,,,
CLI00230,web,0.1034,Dormant,client_inactif,,,,
CLI00231,app_mobile,0.3184,Peu engagé,résilié,,,,
CLI00232,email,0.6397,Engagé,client_actif,['auto'],"['habitation', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00233,web,0.7054,Engagé,client_actif,"['epargne', 'auto', 'prevoyance', 'habitation']",['sante'],sante,telephone
CLI00234,app_mobile,0.4388,Peu engagé,client_inactif,"['habitation', 'prevoyance']","['auto', 'sante', 'epargne']",sante,telephone
CLI00235,email,0.3727,Peu engagé,prospect,"['habitation', 'epargne', 'sante']","['auto', 'prevoyance']",prevoyance,agence
CLI00236,agence,0.6536,Engagé,client_actif,"['habitation', 'prevoyance']","['auto', 'sante', 'epargne']",sante,telephone
CLI00237,email,0.7722,Très engagé,client_actif,"['habitation', 'auto']","['sante', 'prevoyance', 'epargne']",sante,telephone
CLI00238,email,0.4083,Peu engagé,prospect,"['prevoyance', 'habitation', 'auto', 'epargne']",['sante'],sante,telephone
CLI00239,app_mobile,0.5201,Engagé,client_actif,"['auto', 'epargne', 'sante']","['habitation', 'prevoyance']",prevoyance,agence
CLI00240,agence,0.3714,Peu engagé,client_inactif,,,,
CLI00241,web,0.3384,Peu engagé,client_inactif,"['prevoyance', 'epargne']","['auto', 'habitation', 'sante']",sante,telephone
CLI00242,app_mobile,0.4202,Peu engagé,prospect,"['habitation', 'prevoyance']","['auto', 'sante', 'epargne']",sante,telephone
CLI00243,telephone,0.4651,Peu engagé,prospect,"['sante', 'prevoyance']","['auto', 'habitation', 'epargne']",epargne,agence
CLI00244,app_mobile,0.7267,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
CLI00245,agence,0.465,Peu engagé,client_inactif,,,,
CLI00246,agence,0.4586,Peu engagé,prospect,"['auto', 'sante']","['habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00247,web,0.3002,Peu engagé,client_inactif,['habitation'],"['auto', 'sante', 'prevoyance', 'epargne']",sante,telephone
CLI00248,telephone,0.4808,Peu engagé,prospect,['sante'],"['auto', 'habitation', 'prevoyance', 'epargne']",prevoyance,agence
CLI00249,app_mobile,0.6429,Engagé,client_actif,['epargne'],"['auto', 'habitation', 'sante', 'prevoyance']",sante,telephone
