client_id,statut,age,region,canal_principal,nb_produits,prime_totale_annuelle,ltv_estimee,satisfaction_moy,nb_interactions_total,segment,segment_nom,score_churn,nba_produit,nba_proba
CLI00025,client_actif,61,IDF,web,1,1929.9,7720.0,6.73,15,3,Clients basiques matures,0.1243,epargne,0.1555
CLI00026,résilié,47,BFC,telephone,2,1143.03,20575.0,7.67,3,3,Clients basiques matures,0.9152,auto,0.1175
CLI00027,client_actif,55,NAQ,telephone,3,1296.14,12961.0,7.0,12,3,Clients basiques matures,0.0068,sante,0.8057
CLI00028,client_actif,19,NAQ,web,2,729.79,33570.0,5.92,12,3,Clients basiques matures,0.0108,auto,0.8215
CLI00029,client_actif,77,PACA,web,2,1557.12,0.0,6.5,14,3,Clients basiques matures,0.0088,habitation,0.6862
CLI00030,résilié,38,BFC,web,3,1747.63,47186.0,5.33,3,3,Clients basiques matures,0.8725,prevoyance,0.1847
CLI00031,client_inactif,50,ARA,agence,1,230.25,3454.0,6.5,4,0,Clients basiques seniors,0.0,prevoyance,0.5254
CLI00032,client_actif,29,PACA,agence,3,1951.85,70267.0,6.22,9,1,Clients premium jeunes,0.0128,prevoyance,0.9462
CLI00033,prospect,75,BFC,app_mobile,3,1368.04,0.0,6.83,6,2,Clients premium matures,0.0,sante,0.7357
CLI00034,prospect,39,NAQ,agence,2,2309.16,60038.0,7.5,2,0,Clients basiques seniors,0.1015,sante,0.2884
CLI00035,prospect,78,NAQ,agence,4,2433.99,0.0,7.0,4,0,Clients basiques seniors,0.0218,sante,0.8273
CLI00036,client_actif,61,IDF,telephone,3,2852.16,11409.0,7.67,21,2,Clients premium matures,0.0109,habitation,0.4886
CLI00037,résilié,42,OCC,web,1,299.83,6896.0,7.0,1,3,Clients basiques matures,0.9138,auto,0.1429
CLI00038,client_actif,66,IDF,web,2,924.84,0.0,6.0,10,3,Clients basiques matures,0.0131,prevoyance,0.7538
CLI00039,client_inactif,44,PACA,web,2,3061.4,64289.0,5.0,1,2,Clients premium matures,0.1038,sante,0.5672
CLI00040,client_actif,76,IDF,telephone,1,693.66,0.0,6.76,17,3,Clients basiques matures,0.0105,habitation,0.2842
CLI00041,client_inactif,59,BFC,agence,5,3801.39,22808.0,6.33,3,2,Clients premium matures,0.1174,sante,0.5349
CLI00042,client_inactif,45,ARA,app_mobile,1,320.28,6406.0,6.33,3,0,Clients basiques seniors,0.1147,prevoyance,0.4491
CLI00043,client_actif,77,BFC,web,3,1703.68,0.0,6.44,16,3,Clients basiques matures,0.0116,auto,0.9158
CLI00044,client_actif,33,IDF,web,2,1558.21,49863.0,6.0,13,3,Clients basiques matures,0.0136,auto,0.7057
CLI00045,client_actif,32,OCC,web,1,301.13,9937.0,6.37,19,3,Clients basiques matures,0.0033,prevoyance,0.4867
CLI00046,prospect,79,BFC,app_mobile,4,3275.56,0.0,5.0,3,2,Clients premium matures,0.0905,habitation,0.9666
CLI00047,client_actif,79,BFC,web,4,4796.51,0.0,7.4,5,1,Clients premium jeunes,0.0055,epargne,0.9897
CLI00048,client_actif,64,BFC,web,2,1505.36,1505.0,6.0,5,3,Clients basiques matures,0.0151,habitation,0.6859
CLI00049,résilié,79,OCC,agence,1,293.36,0.0,9.0,1,0,Clients basiques seniors,0.7717,prevoyance,0.0811
CLI00050,client_actif,68,BFC,web,1,641.28,0.0,5.96,24,3,Clients basiques matures,0.0109,habitation,0.3844
CLI00051,client_inactif,61,PACA,app_mobile,2,856.27,3425.0,7.25,4,0,Clients basiques seniors,0.0155,habitation,0.4511
CLI00052,client_actif,72,NAQ,web,1,398.86,0.0,5.55,11,3,Clients basiques matures,0.0039,habitation,0.5326
CLI00053,client_inactif,69,OCC,telephone,2,2827.2,0.0,7.33,3,3,Clients basiques matures,0.0863,sante,0.3249
CLI00054,client_actif,74,NAQ,app_mobile,5,4155.3,0.0,6.43,14,2,Clients premium matures,0.0094,epargne,0.9922
CLI00055,client_inactif,20,OCC,telephone,2,2130.34,95865.0,6.0,4,1,Clients premium jeunes,0.1143,sante,0.1076
CLI00056,client_actif,54,OCC,app_mobile,4,3899.19,42891.0,4.17,6,2,Clients premium matures,0.0316,prevoyance,0.9677
CLI00057,client_actif,68,NAQ,telephone,3,3078.4,0.0,6.61,18,3,Clients basiques matures,0.0142,sante,0.7176
CLI00058,client_actif,24,ARA,telephone,2,723.26,29654.0,7.27,11,3,Clients basiques matures,0.0068,auto,0.7644
CLI00059,client_actif,38,PACA,app_mobile,4,3473.2,93776.0,5.38,8,2,Clients premium matures,0.0165,sante,0.2643
CLI00060,prospect,26,OCC,telephone,2,1011.27,39440.0,6.43,7,3,Clients basiques matures,0.0103,auto,0.4516
CLI00061,prospect,56,OCC,web,4,3846.36,34617.0,7.33,6,1,Clients premium jeunes,0.0179,sante,0.9608
CLI00062,prospect,35,IDF,app_mobile,1,230.59,6918.0,6.67,3,0,Clients basiques seniors,0.0758,prevoyance,0.5097
CLI00063,client_inactif,21,BFC,web,1,304.82,13412.0,6.5,4,3,Clients basiques matures,0.1292,prevoyance,0.1778
CLI00064,client_actif,42,ARA,app_mobile,4,3872.66,89071.0,5.19,16,1,Clients premium jeunes,0.0127,sante,0.8326
CLI00065,client_actif,77,NAQ,agence,2,1471.89,0.0,7.17,24,0,Clients basiques seniors,0.0055,prevoyance,0.6338
CLI00066,client_inactif,31,PACA,agence,4,3832.95,130320.0,7.0,4,2,Clients premium matures,0.026,auto,0.7651
CLI00067,client_actif,67,OCC,web,4,4543.09,0.0,6.7,23,1,Clients premium jeunes,0.0175,sante,0.8182
CLI00068,client_actif,75,BFC,app_mobile,1,1113.1,0.0,5.5,20,0,Clients basiques seniors,0.0134,auto,0.3054
CLI00069,client_actif,26,PACA,web,2,2478.17,96649.0,6.69,16,1,Clients premium jeunes,0.0131,auto,0.4492
CLI00070,résilié,43,NAQ,agence,2,2285.56,50282.0,9.0,1,0,Clients basiques seniors,0.8827,sante,0.0972
CLI00071,client_inactif,70,ARA,web,2,1185.63,0.0,4.0,2,3,Clients basiques matures,0.0833,habitation,0.5271
CLI00072,client_inactif,19,IDF,telephone,3,3561.89,163847.0,7.0,2,1,Clients premium jeunes,0.0711,sante,0.6632
CLI00073,client_actif,37,ARA,web,1,257.82,7219.0,6.22,9,3,Clients basiques matures,0.011,prevoyance,0.4623
CLI00074,client_inactif,45,IDF,web,2,888.68,17774.0,4.5,4,3,Clients basiques matures,0.0236,prevoyance,0.5786
CLI00075,prospect,64,PACA,telephone,3,1719.5,1720.0,5.5,2,2,Clients premium matures,0.0654,auto,0.934
CLI00076,prospect,77,ARA,app_mobile,1,2004.49,0.0,6.0,1,0,Clients basiques seniors,0.0378,sante,0.3611
CLI00077,prospect,49,ARA,web,3,2777.75,44444.0,7.0,5,1,Clients premium jeunes,0.0259,sante,0.5793
CLI00078,client_actif,61,ARA,app_mobile,2,2044.87,8179.0,6.58,19,0,Clients basiques seniors,0.0088,auto,0.2651
CLI00079,client_actif,78,NAQ,web,4,4839.3,0.0,6.55,20,1,Clients premium jeunes,0.0254,prevoyance,0.7974
CLI00080,client_actif,25,PACA,email,1,313.19,12528.0,7.0,6,0,Clients basiques seniors,0.0168,prevoyance,0.4965
CLI00081,prospect,64,IDF,app_mobile,1,755.18,755.0,6.4,5,0,Clients basiques seniors,0.0085,prevoyance,0.2839
CLI00082,client_actif,52,ARA,web,2,1648.23,21427.0,6.33,12,3,Clients basiques matures,0.0068,auto,0.2873
CLI00083,client_inactif,31,PACA,app_mobile,1,258.54,8790.0,5.5,4,0,Clients basiques seniors,0.0773,prevoyance,0.2571
CLI00084,client_actif,34,BFC,web,5,4395.26,136253.0,5.78,18,1,Clients premium jeunes,0.0106,sante,0.9051
CLI00085,client_inactif,53,NAQ,agence,1,1306.28,15675.0,5.5,2,0,Clients basiques seniors,0.1047,epargne,0.4141
CLI00086,client_actif,67,NAQ,telephone,3,2424.77,0.0,6.62,8,3,Clients basiques matures,0.0131,prevoyance,0.8638
CLI00087,client_inactif,57,BFC,telephone,2,1822.4,14579.0,7.0,4,3,Clients basiques matures,0.1215,sante,0.1578
CLI00088,client_actif,21,PACA,web,2,1672.88,73607.0,6.67,21,3,Clients basiques matures,0.0108,auto,0.3258
CLI00089,client_actif,19,IDF,web,1,1279.52,58858.0,7.67,6,3,Clients basiques matures,0.1263,sante,0.1311
CLI00090,client_actif,79,PACA,web,2,2422.01,0.0,6.0,6,3,Clients basiques matures,0.0142,prevoyance,0.1753
CLI00091,client_actif,23,PACA,agence,2,1523.85,64002.0,7.5,10,0,Clients basiques seniors,0.0068,prevoyance,0.4322
CLI00092,client_inactif,71,OCC,app_mobile,1,616.27,0.0,7.5,4,0,Clients basiques seniors,0.0119,prevoyance,0.2833
CLI00093,client_actif,59,NAQ,app_mobile,4,4359.31,26156.0,6.27,11,1,Clients premium jeunes,0.0106,prevoyance,0.891
CLI00094,client_actif,21,IDF,telephone,1,588.6,25898.0,5.6,5,3,Clients basiques matures,0.0072,prevoyance,0.481
CLI00095,client_inactif,71,NAQ,web,2,1009.83,0.0,6.5,4,3,Clients basiques matures,0.1663,auto,0.1342
CLI00096,client_actif,46,BFC,web,2,1389.65,26403.0,5.27,22,3,Clients basiques matures,0.0145,habitation,0.8326
CLI00097,client_actif,35,PACA,web,1,1798.69,53961.0,6.33,15,3,Clients basiques matures,0.0109,sante,0.3847
CLI00098,client_actif,43,BFC,web,4,4182.16,92008.0,5.5,10,1,Clients premium jeunes,0.0226,prevoyance,0.9098
CLI00099,client_actif,61,NAQ,web,2,993.82,3975.0,5.31,13,3,Clients basiques matures,0.0055,habitation,0.5677
CLI00100,client_actif,51,OCC,app_mobile,1,290.19,4063.0,6.4,10,0,Clients basiques seniors,0.0033,prevoyance,0.503
CLI00101,client_actif,27,OCC,web,2,1673.49,63593.0,4.83,6,3,Clients basiques matures,0.0278,habitation,0.7798
CLI00102,résilié,79,IDF,web,2,1235.98,0.0,5.0,2,3,Clients basiques matures,0.9063,auto,0.1496
CLI00103,client_actif,53,PACA,agence,2,2855.15,34262.0,8.0,8,0,Clients basiques seniors,0.0228,sante,0.582
CLI00104,client_actif,31,IDF,web,3,3042.1,103431.0,6.5,6,2,Clients premium matures,0.0035,prevoyance,0.8307
CLI00105,client_actif,48,OCC,agence,1,969.95,16489.0,7.06,16,0,Clients basiques seniors,0.0088,prevoyance,0.2995
CLI00106,résilié,65,OCC,web,1,1264.24,0.0,6.0,1,3,Clients basiques matures,0.8422,sante,0.1512
CLI00107,client_inactif,32,IDF,app_mobile,3,2949.92,97347.0,4.0,2,2,Clients premium matures,0.083,auto,0.8946
CLI00108,client_actif,25,OCC,telephone,1,1085.63,43425.0,4.67,6,3,Clients basiques matures,0.0283,auto,0.4253
CLI00109,client_inactif,31,ARA,web,4,2790.46,94876.0,5.25,4,1,Clients premium jeunes,0.1445,sante,0.1755
CLI00110,client_actif,40,NAQ,app_mobile,1,2156.33,53908.0,5.95,21,0,Clients basiques seniors,0.0165,sante,0.4331
CLI00111,client_actif,77,PACA,telephone,3,4266.61,0.0,6.17,6,2,Clients premium matures,0.0138,epargne,0.9992
CLI00112,client_actif,74,NAQ,app_mobile,2,1083.62,0.0,5.67,15,0,Clients basiques seniors,0.011,habitation,0.4796
CLI00113,client_actif,79,PACA,web,2,1696.92,0.0,5.67,9,3,Clients basiques matures,0.0051,habitation,0.6412
CLI00114,client_actif,57,OCC,app_mobile,1,768.61,6149.0,6.41,17,0,Clients basiques seniors,0.0088,habitation,0.3522
CLI00115,résilié,38,IDF,agence,1,295.74,7985.0,6.0,1,0,Clients basiques seniors,0.8805,prevoyance,0.2313
CLI00116,client_actif,33,IDF,telephone,1,283.92,9085.0,7.64,22,3,Clients basiques matures,0.0033,prevoyance,0.4514
CLI00117,résilié,62,OCC,web,1,463.44,1390.0,6.33,3,3,Clients basiques matures,0.8687,auto,0.1364
CLI00118,client_actif,35,PACA,web,1,1406.0,42180.0,5.53,17,3,Clients basiques matures,0.0943,sante,0.1891
CLI00119,client_actif,64,OCC,web,2,1393.9,1394.0,5.75,8,3,Clients basiques matures,0.0087,auto,0.3945
CLI00120,client_actif,70,PACA,web,2,2030.47,0.0,5.92,24,3,Clients basiques matures,0.0059,auto,0.6323
CLI00121,prospect,41,OCC,web,3,2485.7,59657.0,6.14,7,2,Clients premium matures,0.0,auto,0.2919
CLI00122,client_actif,43,OCC,web,3,2203.38,48474.0,6.24,21,1,Clients premium jeunes,0.009,habitation,0.6649
CLI00123,prospect,42,OCC,web,2,1555.53,35777.0,7.0,7,3,Clients basiques matures,0.0068,auto,0.3322
CLI00124,client_actif,77,IDF,web,2,1717.18,0.0,6.05,20,3,Clients basiques matures,0.0047,habitation,0.5769
CLI00125,client_actif,77,PACA,telephone,2,2582.66,0.0,6.96,23,3,Clients basiques matures,0.0067,sante,0.3231
CLI00126,client_inactif,77,BFC,web,2,1359.3,0.0,4.0,2,3,Clients basiques matures,0.0744,habitation,0.4761
CLI00127,client_actif,62,OCC,web,3,3016.44,9049.0,6.12,17,3,Clients basiques matures,0.02,sante,0.6964
CLI00128,client_actif,58,NAQ,web,1,1942.08,13595.0,6.05,21,3,Clients basiques matures,0.011,sante,0.3853
CLI00129,client_actif,46,NAQ,telephone,1,2117.04,40224.0,6.33,6,2,Clients premium matures,0.0113,prevoyance,0.2022
CLI00130,résilié,32,IDF,agence,3,3161.04,104314.0,5.5,2,1,Clients premium jeunes,0.8443,epargne,0.1551
CLI00131,client_inactif,62,ARA,agence,1,1417.27,4252.0,7.0,4,0,Clients basiques seniors,0.0131,auto,0.2193
CLI00132,client_actif,18,BFC,web,4,4114.95,193403.0,6.21,19,1,Clients premium jeunes,0.0,prevoyance,0.9409
CLI00133,client_actif,42,IDF,telephone,4,4224.22,97157.0,6.33,21,1,Clients premium jeunes,0.0134,epargne,0.8938
CLI00134,prospect,24,ARA,app_mobile,1,1410.95,57849.0,7.0,2,0,Clients basiques seniors,0.0949,auto,0.2384
CLI00135,résilié,26,IDF,web,1,2066.9,80609.0,4.0,1,3,Clients basiques matures,0.8765,epargne,0.5298
CLI00136,client_actif,41,NAQ,app_mobile,2,2238.04,53713.0,5.72,18,0,Clients basiques seniors,0.0114,sante,0.328
CLI00137,client_actif,18,OCC,telephone,2,1422.1,66839.0,6.3,23,3,Clients basiques matures,0.0068,auto,0.3877
CLI00138,client_actif,61,PACA,agence,1,1414.54,5658.0,7.37,19,0,Clients basiques seniors,0.0198,auto,0.2292
CLI00139,prospect,25,OCC,telephone,3,2863.01,114520.0,6.75,4,1,Clients premium jeunes,0.0245,sante,0.2133
CLI00140,résilié,41,NAQ,telephone,2,793.19,19037.0,7.0,2,3,Clients basiques matures,0.8778,prevoyance,0.1636
CLI00141,client_actif,28,PACA,web,1,1428.59,52858.0,5.41,22,3,Clients basiques matures,0.0841,sante,0.2656
CLI00142,client_actif,68,ARA,app_mobile,1,570.84,0.0,6.08,12,0,Clients basiques seniors,0.0,sante,0.3954
CLI00143,client_actif,34,ARA,web,3,1977.23,61294.0,6.62,21,1,Clients premium jeunes,0.0114,auto,0.9127
CLI00144,client_inactif,25,NAQ,telephone,1,1628.88,65155.0,7.0,1,3,Clients basiques matures,0.8271,epargne,0.0925
CLI00145,client_inactif,52,PACA,web,3,2574.72,33471.0,4.5,2,2,Clients premium matures,0.0445,habitation,0.8366
CLI00146,client_actif,52,OCC,telephone,2,892.7,11605.0,7.0,8,3,Clients basiques matures,0.0103,prevoyance,0.7931
CLI00147,client_actif,50,NAQ,web,2,752.7,11290.0,5.4,15,3,Clients basiques matures,0.0143,habitation,0.6211
CLI00148,client_inactif,76,ARA,app_mobile,4,2379.75,0.0,7.75,4,2,Clients premium matures,0.0097,prevoyance,0.3897
CLI00149,prospect,22,NAQ,web,4,4264.48,183373.0,6.25,4,1,Clients premium jeunes,0.0124,prevoyance,0.8891
CLI00150,client_actif,59,OCC,web,2,1570.0,9420.0,6.09,11,3,Clients basiques matures,0.0068,auto,0.3691
CLI00151,client_actif,56,IDF,telephone,1,732.76,6595.0,6.75,12,3,Clients basiques matures,0.0022,sante,0.3819
CLI00152,résilié,75,BFC,web,3,4472.88,0.0,6.5,2,3,Clients basiques matures,0.8935,epargne,0.5915
CLI00153,client_actif,58,BFC,app_mobile,2,1550.15,10851.0,6.67,15,0,Clients basiques seniors,0.0088,auto,0.3383
CLI00154,client_inactif,45,BFC,web,1,425.86,8517.0,8.0,2,3,Clients basiques matures,0.6519,auto,0.1062
CLI00155,client_actif,24,IDF,app_mobile,4,2944.53,120726.0,5.83,12,1,Clients premium jeunes,0.0258,epargne,0.9345
CLI00156,client_actif,26,OCC,web,1,995.57,38827.0,6.37,19,3,Clients basiques matures,0.0088,auto,0.3449
CLI00157,client_actif,25,PACA,web,1,1989.24,79570.0,5.64,14,3,Clients basiques matures,0.0092,sante,0.388
CLI00158,client_actif,29,NAQ,telephone,1,275.9,9932.0,6.81,16,3,Clients basiques matures,0.1049,prevoyance,0.1799
CLI00159,client_actif,51,OCC,app_mobile,2,2739.48,38353.0,6.32,19,0,Clients basiques seniors,0.0235,auto,0.4817
CLI00160,client_actif,50,IDF,web,3,1484.7,22270.0,4.83,12,3,Clients basiques matures,0.0152,prevoyance,0.8455
CLI00161,prospect,65,ARA,app_mobile,1,709.45,0.0,8.0,3,0,Clients basiques seniors,0.8177,auto,0.0773
CLI00162,client_inactif,72,BFC,web,1,1802.47,0.0,7.67,3,3,Clients basiques matures,0.7878,sante,0.1031
CLI00163,résilié,40,BFC,web,1,274.32,6858.0,7.67,3,3,Clients basiques matures,0.874,prevoyance,0.1313
CLI00164,client_actif,79,OCC,app_mobile,3,2705.7,0.0,6.53,17,0,Clients basiques seniors,0.0118,sante,0.6814
CLI00165,client_actif,41,BFC,web,1,323.36,7761.0,6.27,11,3,Clients basiques matures,0.0,prevoyance,0.4381
CLI00166,prospect,54,BFC,agence,4,2355.32,25909.0,9.0,1,0,Clients basiques seniors,0.0537,habitation,0.7539
CLI00167,client_actif,52,OCC,app_mobile,1,1161.47,15099.0,5.83,6,0,Clients basiques seniors,0.1108,sante,0.1264
CLI00168,client_inactif,61,OCC,agence,5,4721.58,18886.0,7.0,4,2,Clients premium matures,0.0222,sante,0.9601
CLI00169,prospect,57,IDF,telephone,1,309.95,2480.0,6.6,5,3,Clients basiques matures,0.0057,auto,0.3995
CLI00170,client_actif,39,IDF,web,3,2426.42,63087.0,5.56,18,2,Clients premium matures,0.0096,habitation,0.9309
CLI00171,client_inactif,44,BFC,web,1,544.78,11440.0,5.25,4,3,Clients basiques matures,0.0875,auto,0.1739
CLI00172,client_actif,52,OCC,web,1,742.68,9655.0,6.67,6,3,Clients basiques matures,0.0103,prevoyance,0.3097
CLI00173,prospect,18,OCC,web,4,4251.07,199800.0,6.0,2,1,Clients premium jeunes,0.0555,epargne,0.9355
CLI00174,client_actif,52,BFC,telephone,4,4247.08,55212.0,6.8,20,1,Clients premium jeunes,0.0083,epargne,0.9768
CLI00175,client_actif,54,PACA,agence,2,1505.94,16565.0,6.71,7,0,Clients basiques seniors,0.0068,auto,0.6701
CLI00176,client_actif,64,ARA,app_mobile,3,4025.45,4025.0,6.09,23,1,Clients premium jeunes,0.0117,epargne,0.9807
CLI00177,client_inactif,31,NAQ,app_mobile,2,2571.86,87443.0,8.0,1,0,Clients basiques seniors,0.8676,sante,0.1056
CLI00178,client_inactif,20,NAQ,web,4,3617.7,162796.0,7.0,1,2,Clients premium matures,0.0762,epargne,0.2928
CLI00179,client_actif,18,BFC,app_mobile,1,1020.33,47956.0,5.92,12,0,Clients basiques seniors,0.0108,auto,0.3719
CLI00180,résilié,22,NAQ,agence,2,1137.56,48915.0,6.0,2,2,Clients premium matures,0.8949,prevoyance,0.2418
CLI00181,client_actif,43,IDF,app_mobile,2,2998.7,65971.0,6.0,5,1,Clients premium jeunes,0.0373,auto,0.4336
CLI00182,client_inactif,72,IDF,web,2,2195.7,0.0,6.5,2,3,Clients basiques matures,0.0748,sante,0.2974
CLI00183,client_actif,31,PACA,agence,4,2553.64,86824.0,6.8,20,2,Clients premium matures,0.0035,epargne,0.7676
CLI00184,client_inactif,56,BFC,app_mobile,1,377.28,3396.0,8.5,4,0,Clients basiques seniors,0.0165,auto,0.3017
CLI00185,résilié,44,IDF,app_mobile,1,417.15,8760.0,4.0,1,0,Clients basiques seniors,0.8843,auto,0.2337
CLI00186,prospect,26,BFC,app_mobile,2,722.31,28170.0,6.67,6,0,Clients basiques seniors,0.0088,auto,0.7938
CLI00187,résilié,32,BFC,app_mobile,3,3532.96,116588.0,5.33,3,1,Clients premium jeunes,0.9144,epargne,0.3133
CLI00188,client_inactif,32,OCC,agence,1,1688.48,55720.0,10.0,1,0,Clients basiques seniors,0.7269,sante,0.0579
CLI00189,client_inactif,43,ARA,telephone,2,2399.11,52780.0,6.25,4,2,Clients premium matures,0.0,sante,0.5856
CLI00190,client_actif,59,ARA,web,4,3808.3,22850.0,5.86,7,2,Clients premium matures,0.0152,auto,0.8371
CLI00191,client_inactif,77,BFC,telephone,1,1317.66,0.0,7.0,1,3,Clients basiques matures,0.4629,sante,0.1577
CLI00192,client_inactif,30,ARA,app_mobile,3,2244.19,78547.0,4.5,2,1,Clients premium jeunes,0.7108,sante,0.1856
CLI00193,client_actif,68,ARA,agence,3,3142.31,0.0,6.6,5,2,Clients premium matures,0.0035,auto,0.7517
CLI00194,résilié,49,NAQ,telephone,2,2388.94,38223.0,8.67,3,3,Clients basiques matures,0.9056,sante,0.1364
CLI00195,prospect,56,NAQ,app_mobile,4,4449.87,40049.0,6.0,1,2,Clients premium matures,0.0826,auto,0.7654
CLI00196,prospect,66,OCC,telephone,3,1409.73,0.0,4.67,3,3,Clients basiques matures,0.0661,sante,0.8481
CLI00197,client_actif,69,PACA,web,2,2832.02,0.0,6.6,5,3,Clients basiques matures,0.0119,auto,0.4525
CLI00198,client_actif,78,IDF,web,2,1747.88,0.0,6.47,17,3,Clients basiques matures,0.007,habitation,0.6109
CLI00199,client_actif,49,IDF,agence,3,3875.63,62010.0,7.21,14,1,Clients premium jeunes,0.0149,auto,0.3577
CLI00200,prospect,21,NAQ,telephone,2,3018.65,132821.0,7.33,3,2,Clients premium matures,0.045,prevoyance,0.5811
CLI00201,résilié,47,BFC,telephone,4,4374.04,78733.0,9.0,1,2,Clients premium matures,0.9116,sante,0.1421
CLI00202,prospect,54,ARA,agence,2,1516.5,16682.0,7.0,6,0,Clients basiques seniors,0.013,prevoyance,0.652
CLI00203,prospect,40,OCC,app_mobile,1,302.84,7571.0,5.43,7,0,Clients basiques seniors,0.1013,prevoyance,0.2063
CLI00204,prospect,56,PACA,web,1,1074.11,9667.0,5.71,7,3,Clients basiques matures,0.0113,auto,0.3452
CLI00205,client_actif,62,NAQ,email,1,1252.66,3758.0,6.22,9,0,Clients basiques seniors,0.0091,auto,0.2841
CLI00206,résilié,32,BFC,web,1,1992.96,65768.0,10.0,1,3,Clients basiques matures,0.8522,sante,0.064
CLI00207,client_actif,60,OCC,agence,4,3822.04,19110.0,6.77,22,2,Clients premium matures,0.0097,prevoyance,0.8341
CLI00208,client_inactif,46,BFC,app_mobile,3,1466.47,27863.0,5.75,4,0,Clients basiques seniors,0.0143,habitation,0.9067
CLI00209,prospect,53,OCC,agence,3,2518.92,30227.0,7.0,7,0,Clients basiques seniors,0.022,sante,0.6127
CLI00210,client_actif,30,NAQ,app_mobile,2,630.18,22056.0,7.27,11,0,Clients basiques seniors,0.0068,auto,0.7921
CLI00211,client_actif,49,OCC,email,3,1854.48,29672.0,7.57,7,1,Clients premium jeunes,0.0088,prevoyance,0.9148
CLI00212,client_actif,24,ARA,app_mobile,2,1240.15,50846.0,6.77,13,0,Clients basiques seniors,0.0088,prevoyance,0.4007
CLI00213,prospect,76,OCC,telephone,4,3157.19,0.0,5.0,3,1,Clients premium jeunes,0.1022,sante,0.9669
CLI00214,client_actif,68,PACA,web,2,1915.14,0.0,6.29,7,3,Clients basiques matures,0.007,auto,0.6068
CLI00215,client_actif,39,OCC,app_mobile,4,4315.63,112206.0,7.27,15,1,Clients premium jeunes,0.0103,sante,0.4111
CLI00216,client_inactif,45,IDF,agence,3,2114.74,42295.0,5.0,2,2,Clients premium matures,0.8968,sante,0.2921
CLI00217,client_actif,19,OCC,agence,1,537.09,24706.0,7.0,15,0,Clients basiques seniors,0.0145,habitation,0.4214
CLI00218,prospect,59,NAQ,telephone,2,2309.34,13856.0,7.33,6,3,Clients basiques matures,0.011,sante,0.3439
CLI00219,client_actif,62,NAQ,web,2,3108.33,9325.0,6.15,20,3,Clients basiques matures,0.0168,auto,0.4227
