contrat_id,client_id,produit,date_souscription,prime_annuelle,statut_contrat,nb_sinistres
CTR000059,CLI00029,auto,2024-07-22,587.03,actif,0
CTR000060,CLI00029,sante,2024-01-30,970.09,actif,2
CTR000061,CLI00030,habitation,2023-08-29,224.11,résilié,1
CTR000062,CLI00030,sante,2020-08-16,1066.82,résilié,0
CTR000063,CLI00030,prevoyance,2021-09-20,456.7,résilié,1
CTR000064,CLI00031,habitation,2017-07-01,230.25,actif,2
CTR000065,CLI00032,habitation,2024-02-04,231.42,actif,0
CTR000066,CLI00032,auto,2018-08-09,727.1,actif,1
CTR000067,CLI00032,sante,2018-12-29,993.33,actif,1
CTR000068,CLI00033,prevoyance,2012-09-17,488.08,actif,2
CTR000069,CLI00033,habitation,2017-08-04,255.33,actif,0
CTR000070,CLI00033,auto,2016-06-10,624.63,actif,2
CTR000071,CLI00034,habitation,2018-04-06,269.51,en_renouvellement,2
CTR000072,CLI00034,epargne,2021-04-09,2039.65,actif,0
CTR000073,CLI00035,habitation,2007-02-24,320.32,actif,0
CTR000074,CLI00035,prevoyance,2019-12-26,388.93,actif,0
CTR000075,CLI00035,sante,2010-02-27,1130.55,en_renouvellement,0
CTR000076,CLI00035,auto,2018-01-15,594.19,actif,0
CTR000077,CLI00036,habitation,2019-10-14,329.4,en_renouvellement,0
CTR000078,CLI00036,epargne,2023-08-16,2032.74,actif,1
CTR000079,CLI00036,prevoyance,2022-07-08,490.02,actif,1
CTR000080,CLI00037,habitation,2024-09-11,299.83,résilié,0
CTR000081,CLI00038,auto,2012-07-29,662.87,actif,0
CTR000082,CLI00038,habitation,2006-01-01,261.97,actif,0
CTR000083,CLI00039,sante,2024-12-21,1100.31,suspendu,4
CTR000084,CLI00039,epargne,2022-03-12,1961.09,actif,0
CTR000085,CLI00040,auto,2015-03-02,693.66,actif,1
CTR000086,CLI00041,prevoyance,2023-10-27,366.36,suspendu,1
CTR000087,CLI00041,habitation,2010-01-24,229.93,suspendu,1
CTR000088,CLI00041,sante,2006-05-23,1019.13,en_renouvellement,2
CTR000089,CLI00041,epargne,2004-07-25,1618.18,actif,1
CTR000090,CLI00041,auto,2011-05-20,567.79,résilié,0
CTR000091,CLI00042,habitation,2010-06-26,320.28,actif,0
CTR000092,CLI00043,habitation,2019-04-16,330.08,actif,0
CTR000093,CLI00043,prevoyance,2021-08-15,403.78,actif,0
CTR000094,CLI00043,sante,2018-08-15,969.82,actif,0
CTR000095,CLI00044,sante,2022-08-17,1285.38,actif,0
CTR000096,CLI00044,habitation,2020-03-13,272.83,actif,0
CTR000097,CLI00045,habitation,2019-01-19,301.13,actif,2
CTR000098,CLI00046,auto,2020-09-24,614.63,actif,0
CTR000099,CLI00046,epargne,2023-04-28,1997.85,actif,2
CTR000100,CLI00046,prevoyance,2022-11-22,387.49,actif,1
CTR000101,CLI00046,habitation,2022-03-17,275.59,résilié,0
CTR000102,CLI00047,prevoyance,2022-05-20,508.64,actif,0
CTR000103,CLI00047,sante,2022-06-29,1268.12,actif,0
CTR000104,CLI00047,auto,2022-12-05,751.18,actif,2
CTR000105,CLI00047,epargne,2022-11-22,2268.57,en_renouvellement,0
CTR000106,CLI00048,auto,2018-08-02,544.92,actif,3
CTR000107,CLI00048,sante,2023-02-09,960.44,actif,0
CTR000108,CLI00049,habitation,2022-06-25,293.36,résilié,0
CTR000109,CLI00050,auto,2018-12-21,641.28,actif,1
CTR000110,CLI00051,habitation,2022-08-10,281.56,en_renouvellement,1
CTR000111,CLI00051,auto,2012-02-07,574.71,actif,0
CTR000112,CLI00052,prevoyance,2024-12-31,398.86,actif,0
CTR000113,CLI00053,epargne,2018-08-16,2096.55,actif,0
CTR000114,CLI00053,auto,2016-09-24,730.65,résilié,0
CTR000115,CLI00054,auto,2011-07-02,691.3,actif,0
CTR000116,CLI00054,prevoyance,2015-01-13,370.24,actif,1
CTR000117,CLI00054,epargne,2019-01-23,1628.51,résilié,1
CTR000118,CLI00054,habitation,2013-07-07,307.19,actif,0
CTR000119,CLI00054,sante,2024-03-26,1158.06,actif,0
CTR000120,CLI00055,prevoyance,2023-05-25,375.14,suspendu,2
CTR000121,CLI00055,epargne,2024-08-29,1755.2,suspendu,0
CTR000122,CLI00056,epargne,2024-02-12,1856.94,actif,1
CTR000123,CLI00056,habitation,2024-08-20,286.16,actif,0
CTR000124,CLI00056,sante,2024-12-17,1087.91,actif,1
CTR000125,CLI00056,auto,2024-09-12,668.18,actif,1
CTR000126,CLI00057,auto,2022-04-17,763.93,en_renouvellement,1
CTR000127,CLI00057,prevoyance,2019-05-22,473.36,actif,0
CTR000128,CLI00057,epargne,2019-04-26,1841.11,actif,0
CTR000129,CLI00058,prevoyance,2024-08-12,438.55,actif,2
CTR000130,CLI00058,habitation,2022-09-16,284.71,actif,0
CTR000131,CLI00059,prevoyance,2024-05-15,422.83,actif,2
CTR000132,CLI00059,epargne,2024-10-27,2108.62,actif,4
CTR000133,CLI00059,habitation,2022-12-17,245.97,actif,0
CTR000134,CLI00059,auto,2022-01-15,695.78,actif,2
CTR000135,CLI00060,auto,2009-08-18,578.76,en_renouvellement,1
CTR000136,CLI00060,prevoyance,2012-06-21,432.51,actif,0
CTR000137,CLI00061,prevoyance,2014-02-10,451.13,actif,0
CTR000138,CLI00061,auto,2022-01-31,686.32,actif,2
CTR000139,CLI00061,habitation,2022-05-10,323.61,actif,1
CTR000140,CLI00061,epargne,2015-06-22,2385.3,actif,0
CTR000141,CLI00062,habitation,2017-08-05,230.59,actif,1
CTR000142,CLI00063,habitation,2024-10-17,304.82,résilié,0
CTR000143,CLI00064,prevoyance,2014-10-05,454.33,actif,0
CTR000144,CLI00064,sante,2008-11-15,1207.85,en_renouvellement,0
CTR000145,CLI00064,epargne,2013-02-24,1878.15,actif,1
CTR000146,CLI00064,habitation,2015-03-27,332.33,actif,1
CTR000147,CLI00065,habitation,2024-12-27,277.66,actif,0
CTR000148,CLI00065,sante,2009-12-08,1194.23,actif,0
CTR000149,CLI00066,auto,2021-02-05,655.84,suspendu,3
CTR000150,CLI00066,sante,2024-08-19,1060.97,actif,0
CTR000151,CLI00066,prevoyance,2024-03-08,367.0,actif,1
CTR000152,CLI00066,epargne,2022-04-16,1749.14,actif,1
CTR000153,CLI00067,sante,2020-03-25,1394.88,résilié,0
CTR000154,CLI00067,habitation,2011-06-26,237.31,actif,0
CTR000155,CLI00067,auto,2012-12-14,667.5,en_renouvellement,2
CTR000156,CLI00067,epargne,2017-12-17,2243.4,actif,0
CTR000157,CLI00068,sante,2016-03-22,1113.1,actif,0
CTR000158,CLI00069,prevoyance,2017-01-09,471.04,actif,2
CTR000159,CLI00069,epargne,2016-10-03,2007.13,actif,1
CTR000160,CLI00070,auto,2022-10-15,584.13,résilié,0
CTR000161,CLI00070,epargne,2018-05-27,1701.43,résilié,0
CTR000162,CLI00071,auto,2024-05-24,691.77,suspendu,1
CTR000163,CLI00071,prevoyance,2024-04-19,493.86,actif,1
CTR000164,CLI00072,prevoyance,2013-08-07,533.73,suspendu,0
CTR000165,CLI00072,auto,2009-05-20,636.76,actif,2
CTR000166,CLI00072,epargne,2009-03-17,2391.4,actif,0
CTR000167,CLI00073,habitation,2005-08-08,257.82,actif,1
CTR000168,CLI00074,auto,2024-12-30,578.65,suspendu,0
CTR000169,CLI00074,habitation,2024-12-30,310.03,actif,0
CTR000170,CLI00075,sante,2020-05-06,976.72,actif,1
CTR000171,CLI00075,habitation,2011-05-15,288.49,actif,3
CTR000172,CLI00075,prevoyance,2022-08-03,454.29,actif,0
CTR000173,CLI00076,epargne,2024-02-27,2004.49,actif,0
CTR000174,CLI00077,epargne,2015-01-25,1668.3,actif,1
CTR000175,CLI00077,prevoyance,2003-04-15,499.33,actif,0
CTR000176,CLI00077,auto,2013-11-30,610.12,en_renouvellement,1
CTR000177,CLI00078,auto,2016-11-22,731.88,en_renouvellement,1
CTR000178,CLI00078,sante,2017-12-01,1312.99,actif,0
CTR000179,CLI00079,epargne,2024-12-18,2383.26,actif,1
CTR000180,CLI00079,habitation,2015-04-14,291.98,actif,0
CTR000181,CLI00079,sante,2022-11-18,1384.06,actif,0
CTR000182,CLI00079,auto,2017-11-23,780.0,actif,0
CTR000183,CLI00080,habitation,2023-04-20,313.19,actif,1
CTR000184,CLI00081,auto,2020-11-09,755.18,actif,3
CTR000185,CLI00082,sante,2018-02-15,1197.38,actif,0
CTR000186,CLI00082,prevoyance,2018-02-26,450.85,suspendu,2
CTR000187,CLI00083,habitation,2022-02-13,258.54,suspendu,2
CTR000188,CLI00084,habitation,2022-05-28,327.94,actif,0
CTR000189,CLI00084,auto,2018-09-28,709.31,en_renouvellement,0
CTR000190,CLI00084,sante,2021-03-09,1073.19,en_renouvellement,0
CTR000191,CLI00084,prevoyance,2022-03-26,467.28,actif,0
CTR000192,CLI00084,epargne,2013-03-17,1817.54,actif,1
CTR000193,CLI00085,sante,2021-02-09,1306.28,actif,0
CTR000194,CLI00086,auto,2024-12-30,720.8,actif,1
CTR000195,CLI00086,sante,2024-12-31,1413.91,actif,0
CTR000196,CLI00086,habitation,2024-12-31,290.06,actif,1
CTR000197,CLI00087,sante,2004-09-02,1421.93,suspendu,1
CTR000198,CLI00087,prevoyance,2015-11-01,400.47,résilié,0
CTR000199,CLI00088,sante,2014-07-23,1381.34,actif,0
CTR000200,CLI00088,habitation,2024-10-16,291.54,suspendu,0
CTR000201,CLI00089,sante,2023-01-18,1279.52,en_renouvellement,1
CTR000202,CLI00090,habitation,2010-05-10,330.43,suspendu,0
CTR000203,CLI00090,epargne,2019-05-20,2091.58,actif,2
CTR000204,CLI00091,sante,2023-12-22,1117.11,actif,0
CTR000205,CLI00091,prevoyance,2023-03-07,406.74,en_renouvellement,2
CTR000206,CLI00092,auto,2021-11-10,616.27,actif,0
CTR000207,CLI00093,epargne,2013-05-01,2368.51,actif,0
CTR000208,CLI00093,sante,2006-02-23,1014.53,actif,1
CTR000209,CLI00093,habitation,2007-03-14,253.17,actif,0
CTR000210,CLI00093,auto,2020-05-14,723.1,actif,1
CTR000211,CLI00094,auto,2019-03-11,588.6,actif,0
CTR000212,CLI00095,auto,2015-10-25,564.14,suspendu,1
CTR000213,CLI00095,prevoyance,2022-11-27,445.69,suspendu,0
CTR000214,CLI00096,sante,2024-03-22,964.04,actif,0
CTR000215,CLI00096,prevoyance,2020-01-14,425.61,actif,1
CTR000216,CLI00097,epargne,2020-02-28,1798.69,actif,1
CTR000217,CLI00098,sante,2023-12-05,1086.92,actif,1
CTR000218,CLI00098,auto,2007-05-13,552.61,actif,0
CTR000219,CLI00098,habitation,2018-04-02,297.79,actif,0
CTR000220,CLI00098,epargne,2019-07-25,2244.84,actif,0
CTR000221,CLI00099,prevoyance,2022-09-08,370.67,résilié,0
CTR000222,CLI00099,auto,2024-04-24,623.15,actif,0
CTR000223,CLI00100,habitation,2024-11-02,290.19,actif,1
CTR000224,CLI00101,prevoyance,2021-06-18,443.83,actif,1
CTR000225,CLI00101,sante,2018-04-16,1229.66,actif,0
CTR000226,CLI00102,prevoyance,2024-06-10,484.56,résilié,1
CTR000227,CLI00102,auto,2020-01-18,751.42,résilié,0
CTR000228,CLI00103,prevoyance,2022-08-03,493.6,actif,0
CTR000229,CLI00103,epargne,2023-04-02,2361.55,actif,0
CTR000230,CLI00104,habitation,2022-08-27,301.55,actif,0
CTR000231,CLI00104,auto,2007-06-08,626.95,actif,3
CTR000232,CLI00104,epargne,2006-03-04,2113.6,actif,2
CTR000233,CLI00105,sante,2023-09-01,969.95,actif,0
CTR000234,CLI00106,sante,2023-07-30,1264.24,résilié,3
CTR000235,CLI00107,epargne,2020-10-25,1625.13,actif,0
CTR000236,CLI00107,habitation,2024-08-16,297.95,actif,1
CTR000237,CLI00107,sante,2021-06-10,1026.84,actif,4
CTR000238,CLI00108,sante,2023-10-03,1085.63,actif,1
CTR000239,CLI00109,habitation,2011-03-24,266.65,suspendu,2
CTR000240,CLI00109,prevoyance,2015-01-03,370.8,résilié,1
CTR000241,CLI00109,sante,2022-10-17,1402.14,suspendu,0
CTR000242,CLI00109,auto,2024-11-25,750.87,suspendu,0
CTR000243,CLI00110,epargne,2014-03-18,2156.33,actif,1
CTR000244,CLI00111,epargne,2018-06-19,2223.22,suspendu,4
CTR000245,CLI00111,sante,2013-10-20,1381.57,actif,0
CTR000246,CLI00111,auto,2015-01-26,661.82,actif,1
CTR000247,CLI00112,auto,2021-03-20,723.02,actif,0
CTR000248,CLI00112,prevoyance,2015-08-12,360.6,en_renouvellement,0
CTR000249,CLI00113,auto,2023-07-21,671.34,actif,0
CTR000250,CLI00113,sante,2024-08-26,1025.58,actif,3
CTR000251,CLI00114,auto,2023-04-05,768.61,actif,1
CTR000252,CLI00115,habitation,2023-01-25,295.74,résilié,1
CTR000253,CLI00116,habitation,2022-06-05,283.92,actif,0
CTR000254,CLI00117,prevoyance,2021-12-27,463.44,résilié,0
CTR000255,CLI00118,sante,2017-04-27,1406.0,en_renouvellement,3
CTR000256,CLI00119,sante,2014-11-05,991.63,actif,1
CTR000257,CLI00119,prevoyance,2013-02-20,402.27,suspendu,0
CTR000258,CLI00120,habitation,2024-12-01,228.23,actif,0
CTR000259,CLI00120,epargne,2024-05-26,1802.24,actif,0
CTR000260,CLI00121,habitation,2020-02-15,335.76,en_renouvellement,2
CTR000261,CLI00121,epargne,2017-01-03,1665.14,actif,0
CTR000262,CLI00121,prevoyance,2021-04-08,484.8,en_renouvellement,2
CTR000263,CLI00122,sante,2023-08-01,1169.11,actif,1
CTR000264,CLI00122,habitation,2023-02-22,311.15,en_renouvellement,0
CTR000265,CLI00122,auto,2024-08-10,723.12,actif,2
CTR000266,CLI00123,sante,2024-02-03,1222.05,actif,3
CTR000267,CLI00123,habitation,2024-04-29,333.48,en_renouvellement,0
CTR000268,CLI00124,sante,2015-10-06,998.47,actif,2
CTR000269,CLI00124,auto,2018-10-11,718.71,actif,1
CTR000270,CLI00125,auto,2019-01-27,768.99,en_renouvellement,1
CTR000271,CLI00125,epargne,2018-11-21,1813.67,actif,0
CTR000272,CLI00126,prevoyance,2022-10-26,397.5,actif,0
CTR000273,CLI00126,sante,2024-12-14,961.8,résilié,0
CTR000274,CLI00127,sante,2020-11-03,974.21,suspendu,0
CTR000275,CLI00127,prevoyance,2022-05-30,429.53,actif,0
CTR000276,CLI00127,epargne,2024-03-13,1612.7,actif,0
CTR000277,CLI00128,epargne,2019-05-17,1942.08,actif,0
CTR000278,CLI00129,epargne,2018-09-27,2117.04,actif,3
CTR000279,CLI00130,habitation,2022-07-16,288.94,résilié,0
CTR000280,CLI00130,epargne,2019-03-09,2190.26,résilié,1
CTR000281,CLI00130,auto,2018-11-02,681.84,résilié,1
CTR000282,CLI00131,sante,2016-10-29,1417.27,actif,1
CTR000283,CLI00132,epargne,2024-12-30,1933.3,actif,1
CTR000284,CLI00132,auto,2024-12-31,627.54,actif,0
CTR000285,CLI00132,sante,2024-12-30,1315.08,actif,0
CTR000286,CLI00132,habitation,2024-12-30,239.03,actif,0
CTR000287,CLI00133,sante,2022-03-04,1416.66,en_renouvellement,0
CTR000288,CLI00133,epargne,2022-12-22,2103.56,résilié,0
CTR000289,CLI00133,habitation,2024-07-17,225.63,actif,1
CTR000290,CLI00133,prevoyance,2022-05-16,478.37,actif,0
CTR000291,CLI00134,sante,2019-03-21,1410.95,actif,0
CTR000292,CLI00135,epargne,2017-01-27,2066.9,résilié,1
CTR000293,CLI00136,epargne,2015-10-01,1835.7,actif,1
CTR000294,CLI00136,prevoyance,2015-10-12,402.34,en_renouvellement,0
CTR000295,CLI00137,prevoyance,2019-11-25,429.72,actif,1
CTR000296,CLI00137,sante,2019-11-13,992.38,en_renouvellement,0
CTR000297,CLI00138,sante,2024-09-05,1414.54,actif,1
CTR000298,CLI00139,habitation,2024-09-16,322.16,résilié,1
CTR000299,CLI00139,prevoyance,2018-04-26,398.79,actif,1
CTR000300,CLI00139,epargne,2019-05-04,2142.06,résilié,1
CTR000301,CLI00140,auto,2004-04-02,534.55,résilié,1
CTR000302,CLI00140,habitation,2003-01-08,258.64,résilié,0
CTR000303,CLI00141,sante,2023-04-21,1428.59,en_renouvellement,4
CTR000304,CLI00142,auto,2019-11-15,570.84,actif,4
CTR000305,CLI00143,sante,2022-08-07,1276.08,actif,1
CTR000306,CLI00143,habitation,2022-08-24,321.57,actif,0
CTR000307,CLI00143,prevoyance,2022-12-31,379.58,actif,0
CTR000308,CLI00144,epargne,2017-02-07,1628.88,suspendu,1
CTR000309,CLI00145,epargne,2023-12-31,1880.83,actif,4
CTR000310,CLI00145,habitation,2023-06-15,255.98,résilié,1
CTR000311,CLI00145,prevoyance,2023-10-03,437.91,actif,1
CTR000312,CLI00146,habitation,2022-01-15,271.44,actif,1
CTR000313,CLI00146,auto,2024-06-23,621.26,actif,0
CTR000314,CLI00147,prevoyance,2023-12-24,514.18,actif,1
CTR000315,CLI00147,habitation,2020-04-04,238.52,en_renouvellement,0
CTR000316,CLI00148,auto,2020-07-09,522.43,résilié,2
CTR000317,CLI00148,habitation,2020-07-28,268.16,actif,2
CTR000318,CLI00148,sante,2021-08-08,1123.55,en_renouvellement,1
CTR000319,CLI00148,prevoyance,2024-01-06,465.61,suspendu,1
CTR000320,CLI00149,auto,2021-12-06,706.22,actif,1
CTR000321,CLI00149,epargne,2015-10-06,1983.05,actif,0
CTR000322,CLI00149,habitation,2013-03-09,236.02,actif,0
CTR000323,CLI00149,sante,2009-01-11,1339.19,actif,0
CTR000324,CLI00150,habitation,2024-07-23,309.17,résilié,0
CTR000325,CLI00150,sante,2019-10-05,1260.83,actif,3
CTR000326,CLI00151,auto,2006-07-28,732.76,actif,4
CTR000327,CLI00152,auto,2011-07-11,755.18,résilié,0
CTR000328,CLI00152,epargne,2013-03-31,2376.1,résilié,0
CTR000329,CLI00152,sante,2019-11-10,1341.6,résilié,1
CTR000330,CLI00153,prevoyance,2024-12-31,440.59,actif,0
CTR000331,CLI00153,sante,2024-12-31,1109.56,en_renouvellement,0
CTR000332,CLI00154,prevoyance,2022-01-31,425.86,suspendu,1
CTR000333,CLI00155,prevoyance,2018-04-30,498.92,actif,0
CTR000334,CLI00155,sante,2014-04-22,1401.35,actif,0
CTR000335,CLI00155,habitation,2011-11-02,311.15,actif,0
CTR000336,CLI00155,auto,2019-04-29,733.11,actif,1
CTR000337,CLI00156,sante,2017-10-08,995.57,actif,0
CTR000338,CLI00157,epargne,2023-07-13,1989.24,actif,0
CTR000339,CLI00158,habitation,2023-11-03,275.9,suspendu,0
CTR000340,CLI00159,epargne,2018-04-16,1715.45,actif,0
CTR000341,CLI00159,sante,2011-12-28,1024.03,actif,2
CTR000342,CLI00160,auto,2010-03-12,693.1,actif,0
CTR000343,CLI00160,prevoyance,2022-05-26,534.39,en_renouvellement,0
CTR000344,CLI00160,habitation,2012-04-24,257.21,actif,0
CTR000345,CLI00161,auto,2011-09-27,709.45,en_renouvellement,0
CTR000346,CLI00162,epargne,2007-09-16,1802.47,résilié,0
CTR000347,CLI00163,habitation,2017-09-21,274.32,résilié,0
CTR000348,CLI00164,prevoyance,2015-07-08,515.29,actif,0
CTR000349,CLI00164,habitation,2023-02-17,302.54,actif,0
CTR000350,CLI00164,epargne,2020-06-02,1887.87,résilié,0
CTR000351,CLI00165,habitation,2015-12-25,323.36,actif,4
CTR000352,CLI00166,habitation,2024-10-27,323.27,résilié,1
CTR000353,CLI00166,auto,2014-10-08,667.45,actif,0
CTR000354,CLI00166,sante,2014-04-25,977.69,actif,0
CTR000355,CLI00166,prevoyance,2013-02-11,386.91,suspendu,0
CTR000356,CLI00167,sante,2022-09-07,1161.47,en_renouvellement,0
CTR000357,CLI00168,sante,2019-10-29,1220.09,en_renouvellement,4
CTR000358,CLI00168,prevoyance,2019-08-26,372.13,actif,3
CTR000359,CLI00168,auto,2024-08-18,751.2,actif,2
CTR000360,CLI00168,epargne,2016-09-02,2114.97,actif,0
CTR000361,CLI00168,habitation,2018-04-09,263.19,suspendu,0
CTR000362,CLI00169,habitation,2023-10-13,309.95,actif,0
CTR000363,CLI00170,sante,2021-11-01,1390.9,actif,0
CTR000364,CLI00170,prevoyance,2018-06-08,502.95,actif,3
CTR000365,CLI00170,auto,2018-10-01,532.57,actif,1
CTR000366,CLI00171,auto,2024-05-13,544.78,résilié,2
CTR000367,CLI00172,auto,2024-04-04,742.68,actif,0
CTR000368,CLI00173,epargne,2002-06-09,2247.1,résilié,0
CTR000369,CLI00173,habitation,2008-05-09,288.7,actif,1
CTR000370,CLI00173,sante,2013-08-12,1039.33,actif,0
CTR000371,CLI00173,auto,2017-11-12,675.94,actif,3
CTR000372,CLI00174,sante,2024-04-18,1095.51,actif,0
CTR000373,CLI00174,habitation,2024-08-30,281.52,actif,1
CTR000374,CLI00174,epargne,2024-07-16,2308.79,suspendu,0
CTR000375,CLI00174,auto,2024-06-04,561.26,actif,0
CTR000376,CLI00175,prevoyance,2016-07-21,467.72,actif,0
CTR000377,CLI00175,sante,2011-07-31,1038.22,actif,3
CTR000378,CLI00176,sante,2022-09-15,1039.09,actif,0
CTR000379,CLI00176,epargne,2024-08-20,2397.81,en_renouvellement,0
CTR000380,CLI00176,auto,2009-03-15,588.55,actif,1
CTR000381,CLI00177,epargne,2023-01-07,1928.48,en_renouvellement,0
CTR000382,CLI00177,auto,2023-06-26,643.38,résilié,0
CTR000383,CLI00178,habitation,2019-05-20,232.83,suspendu,0
CTR000384,CLI00178,prevoyance,2016-10-26,491.35,suspendu,1
CTR000385,CLI00178,epargne,2015-04-11,2323.81,suspendu,2
CTR000386,CLI00178,auto,2014-03-29,569.71,actif,0
CTR000387,CLI00179,sante,2023-08-31,1020.33,actif,1
CTR000388,CLI00180,prevoyance,2024-11-09,413.8,résilié,4
CTR000389,CLI00180,auto,2024-04-13,723.76,résilié,1
CTR000390,CLI00181,sante,2017-03-29,1268.64,actif,0
CTR000391,CLI00181,epargne,2004-01-19,1730.06,actif,0
CTR000392,CLI00182,auto,2024-01-12,575.45,en_renouvellement,2
CTR000393,CLI00182,epargne,2024-12-30,1620.25,actif,0
CTR000394,CLI00183,auto,2012-03-16,575.65,actif,0
CTR000395,CLI00183,habitation,2019-01-15,282.25,actif,2
CTR000396,CLI00183,prevoyance,2011-12-19,361.25,actif,2
CTR000397,CLI00183,sante,2020-10-30,1334.49,actif,0
CTR000398,CLI00184,prevoyance,2022-04-28,377.28,actif,3
CTR000399,CLI00185,prevoyance,2010-07-05,417.15,résilié,1
CTR000400,CLI00186,prevoyance,2014-10-19,457.71,actif,1
CTR000401,CLI00186,habitation,2017-11-28,264.6,actif,0
CTR000402,CLI00187,prevoyance,2021-03-13,438.42,résilié,2
CTR000403,CLI00187,epargne,2015-07-11,1884.24,résilié,1
CTR000404,CLI00187,sante,2011-12-14,1210.3,résilié,0
CTR000405,CLI00188,epargne,2014-04-25,1688.48,résilié,2
CTR000406,CLI00189,prevoyance,2013-10-21,393.64,actif,4
CTR000407,CLI00189,epargne,2011-08-13,2005.47,actif,0
CTR000408,CLI00190,sante,2017-08-10,1260.44,actif,2
CTR000409,CLI00190,epargne,2020-01-14,1719.63,en_renouvellement,1
CTR000410,CLI00190,prevoyance,2018-07-30,529.28,actif,2
CTR000411,CLI00190,habitation,2022-06-08,298.95,actif,2
CTR000412,CLI00191,sante,2002-05-28,1317.66,suspendu,4
CTR000413,CLI00192,sante,2023-09-20,1252.98,suspendu,1
CTR000414,CLI00192,habitation,2023-01-05,285.02,en_renouvellement,2
CTR000415,CLI00192,auto,2023-01-16,706.19,résilié,0
CTR000416,CLI00193,epargne,2020-04-16,2376.5,actif,3
CTR000417,CLI00193,habitation,2020-05-28,279.05,actif,0
CTR000418,CLI00193,prevoyance,2020-12-26,486.76,actif,2
CTR000419,CLI00194,epargne,2024-12-31,1848.4,résilié,3
