client_id,age,anciennete_ans,statut,nb_produits,canal_principal,region,revenu_mensuel,tranche_age,score_intensite,niveau_engagement
CLI00033,75,16,prospect,3,app_mobile,BFC,2653.0,60-80 ans,0.5672,Engagé
CLI00034,39,14,prospect,2,agence,NAQ,3081.0,30-45 ans,0.4342,Peu engagé
CLI00035,78,24,prospect,4,agence,NAQ,2128.0,60-80 ans,0.4894,Peu engagé
CLI00036,61,16,client_actif,3,telephone,IDF,2850.0,60-80 ans,0.7898,Très engagé
CLI00037,42,17,résilié,1,web,OCC,1882.0,30-45 ans,0.3423,Peu engagé
CLI00038,66,21,client_actif,2,web,IDF,2616.0,60-80 ans,0.562,Engagé
CLI00039,44,5,client_inactif,2,web,PACA,3636.0,30-45 ans,0.3478,Peu engagé
CLI00040,76,16,client_actif,1,telephone,IDF,3678.0,60-80 ans,0.7507,Très engagé
CLI00041,59,22,client_inactif,5,agence,BFC,3855.0,45-60 ans,0.4398,Peu engagé
CLI00042,45,23,client_inactif,1,app_mobile,ARA,2709.0,30-45 ans,0.4307,Peu engagé
CLI00043,77,17,client_actif,3,web,BFC,2506.0,60-80 ans,0.7322,Engagé
CLI00044,33,7,client_actif,2,web,IDF,3464.0,30-45 ans,0.6761,Engagé
CLI00045,32,8,client_actif,1,web,OCC,3850.0,30-45 ans,0.8182,Très engagé
CLI00046,79,5,prospect,4,app_mobile,BFC,2875.0,60-80 ans,0.3235,Peu engagé
CLI00047,79,4,client_actif,4,web,BFC,4161.0,60-80 ans,0.5088,Engagé
CLI00048,64,11,client_actif,2,web,BFC,3440.0,60-80 ans,0.4093,Peu engagé
CLI00049,79,24,résilié,1,agence,OCC,2286.0,60-80 ans,0.3905,Peu engagé
CLI00050,68,10,client_actif,1,web,BFC,2395.0,60-80 ans,0.8667,Très engagé
CLI00051,61,24,client_inactif,2,app_mobile,PACA,2764.0,60-80 ans,0.4457,Peu engagé
CLI00052,72,0,client_actif,1,web,NAQ,1387.0,60-80 ans,0.5869,Engagé
CLI00053,69,10,client_inactif,2,telephone,OCC,2302.0,60-80 ans,0.545,Engagé
CLI00054,74,18,client_actif,5,app_mobile,PACA,3827.0,60-80 ans,0.6558,Engagé
CLI00055,20,8,client_inactif,2,telephone,OCC,4011.0,18-30 ans,0.3915,Peu engagé
CLI00056,54,1,client_actif,4,app_mobile,OCC,3057.0,45-60 ans,0.3698,Peu engagé
CLI00057,68,11,client_actif,3,telephone,NAQ,3209.0,60-80 ans,0.6605,Engagé
CLI00058,24,3,client_actif,2,telephone,ARA,2521.0,18-30 ans,0.5882,Engagé
CLI00059,38,3,client_actif,4,app_mobile,PACA,2224.0,30-45 ans,0.602,Engagé
CLI00060,26,17,prospect,2,telephone,OCC,3313.0,18-30 ans,0.5662,Engagé
CLI00061,56,14,prospect,4,web,OCC,2404.0,45-60 ans,0.5144,Engagé
CLI00062,35,18,prospect,1,app_mobile,IDF,4321.0,30-45 ans,0.3854,Peu engagé
CLI00063,21,12,client_inactif,1,web,BFC,3168.0,18-30 ans,0.5182,Engagé
CLI00064,42,18,client_actif,4,app_mobile,ARA,3201.0,30-45 ans,0.7463,Engagé
CLI00065,77,16,client_actif,2,agence,NAQ,1846.0,60-80 ans,0.8639,Très engagé
CLI00066,31,5,client_inactif,4,agence,PACA,1200.0,30-45 ans,0.5706,Engagé
CLI00067,67,15,client_actif,4,web,OCC,3201.0,60-80 ans,0.8799,Très engagé
CLI00068,75,23,client_actif,1,app_mobile,BFC,2353.0,60-80 ans,0.7876,Très engagé
CLI00069,26,11,client_actif,2,web,PACA,3686.0,18-30 ans,0.7449,Engagé
CLI00070,43,18,résilié,2,agence,NAQ,1979.0,30-45 ans,0.3125,Peu engagé
CLI00071,70,4,client_inactif,2,web,ARA,2322.0,60-80 ans,0.2981,Peu engagé
CLI00072,19,16,client_inactif,3,telephone,IDF,3808.0,18-30 ans,0.3803,Peu engagé
CLI00073,37,22,client_actif,1,web,ARA,3193.0,30-45 ans,0.5885,Engagé
CLI00074,45,0,client_inactif,2,web,IDF,1899.0,30-45 ans,0.4467,Peu engagé
CLI00075,64,24,prospect,3,telephone,PACA,2831.0,60-80 ans,0.4069,Peu engagé
CLI00076,77,23,prospect,1,app_mobile,ARA,4513.0,60-80 ans,0.2959,Peu engagé
CLI00077,24,22,prospect,3,web,ARA,2929.0,18-30 ans,0.5452,Engagé
CLI00078,61,9,client_actif,2,app_mobile,ARA,2667.0,60-80 ans,0.8198,Très engagé
CLI00079,78,14,client_actif,4,web,NAQ,3606.0,60-80 ans,0.7878,Très engagé
CLI00080,25,22,client_actif,1,email,PACA,3117.0,18-30 ans,0.5085,Engagé
CLI00081,64,20,prospect,1,app_mobile,IDF,4099.0,60-80 ans,0.4432,Peu engagé
CLI00082,52,20,client_actif,2,web,ARA,3480.0,45-60 ans,0.6288,Engagé
CLI00083,31,10,client_inactif,1,app_mobile,PACA,3616.0,30-45 ans,0.434,Peu engagé
CLI00084,34,12,client_actif,5,web,BFC,4143.0,30-45 ans,0.6793,Engagé
CLI00085,53,4,client_inactif,1,agence,NAQ,2531.0,45-60 ans,0.368,Peu engagé
CLI00086,67,0,client_actif,3,telephone,NAQ,2261.0,60-80 ans,0.5775,Engagé
CLI00087,57,23,client_inactif,2,telephone,BFC,1589.0,45-60 ans,0.4841,Peu engagé
CLI00088,21,11,client_actif,2,web,PACA,2610.0,18-30 ans,0.8062,Très engagé
CLI00089,19,10,client_actif,1,web,IDF,1622.0,18-30 ans,0.6359,Engagé
CLI00090,79,16,client_actif,2,web,PACA,3129.0,60-80 ans,0.4452,Peu engagé
CLI00091,23,3,client_actif,2,agence,PACA,2248.0,18-30 ans,0.5527,Engagé
CLI00092,71,14,client_inactif,1,app_mobile,OCC,3666.0,60-80 ans,0.4895,Peu engagé
CLI00093,59,24,client_actif,4,app_mobile,NAQ,3501.0,45-60 ans,0.6672,Engagé
CLI00094,21,8,client_actif,1,telephone,IDF,2449.0,18-30 ans,0.4589,Peu engagé
CLI00095,71,20,client_inactif,2,web,OCC,3679.0,60-80 ans,0.5308,Engagé
CLI00096,46,19,client_actif,2,web,BFC,2934.0,45-60 ans,0.7813,Très engagé
CLI00097,35,18,client_actif,1,web,PACA,1206.0,30-45 ans,0.7458,Engagé
CLI00098,43,18,client_actif,4,web,BFC,1910.0,30-45 ans,0.6364,Engagé
CLI00099,61,11,client_actif,2,web,NAQ,2148.0,60-80 ans,0.7149,Engagé
CLI00100,51,4,client_actif,1,app_mobile,OCC,2809.0,45-60 ans,0.6353,Engagé
CLI00101,27,9,client_actif,2,web,OCC,2414.0,18-30 ans,0.4938,Peu engagé
CLI00102,79,16,résilié,2,web,IDF,2324.0,60-80 ans,0.274,Peu engagé
CLI00103,53,4,client_actif,2,agence,PACA,3323.0,45-60 ans,0.6151,Engagé
CLI00104,31,21,client_actif,3,web,IDF,3508.0,30-45 ans,0.5399,Engagé
CLI00105,48,15,client_actif,1,agence,OCC,2243.0,45-60 ans,0.7012,Engagé
CLI00106,65,6,résilié,1,web,OCC,2035.0,60-80 ans,0.2986,Peu engagé
CLI00107,32,8,client_inactif,3,app_mobile,IDF,3938.0,30-45 ans,0.2763,Peu engagé
CLI00108,25,2,client_actif,1,telephone,OCC,5253.0,18-30 ans,0.4148,Peu engagé
CLI00109,31,14,client_inactif,4,web,ARA,1952.0,30-45 ans,0.3858,Peu engagé
CLI00110,40,15,client_actif,1,app_mobile,NAQ,3602.0,30-45 ans,0.814,Très engagé
CLI00111,77,17,client_actif,3,telephone,PACA,2675.0,60-80 ans,0.5286,Engagé
CLI00112,74,13,client_actif,2,app_mobile,NAQ,3408.0,60-80 ans,0.7001,Engagé
CLI00113,79,2,client_actif,2,web,PACA,1942.0,60-80 ans,0.5142,Engagé
CLI00114,57,11,client_actif,1,app_mobile,OCC,1673.0,45-60 ans,0.7324,Engagé
CLI00115,38,8,résilié,1,agence,IDF,1790.0,30-45 ans,0.3285,Peu engagé
CLI00116,33,6,client_actif,1,telephone,IDF,2292.0,30-45 ans,0.9005,Très engagé
CLI00117,62,8,résilié,1,web,OCC,2589.0,60-80 ans,0.3876,Peu engagé
CLI00118,35,12,client_actif,1,web,PACA,3651.0,30-45 ans,0.7412,Engagé
CLI00119,64,17,client_actif,2,web,OCC,2050.0,60-80 ans,0.449,Peu engagé
CLI00120,70,4,client_actif,2,web,PACA,2226.0,60-80 ans,0.8739,Très engagé
CLI00121,41,12,prospect,3,web,OCC,4672.0,30-45 ans,0.5076,Engagé
CLI00122,43,3,client_actif,3,web,OCC,2848.0,30-45 ans,0.8469,Très engagé
CLI00123,42,1,prospect,2,web,OCC,3057.0,30-45 ans,0.638,Engagé
CLI00124,77,15,client_actif,2,web,IDF,3471.0,60-80 ans,0.7703,Très engagé
CLI00125,77,8,client_actif,2,telephone,PACA,2329.0,60-80 ans,0.8902,Très engagé
CLI00126,77,8,client_inactif,2,web,BFC,2783.0,60-80 ans,0.3496,Peu engagé
CLI00127,62,5,client_actif,3,web,OCC,2510.0,60-80 ans,0.7395,Engagé
CLI00128,58,10,client_actif,1,web,NAQ,2725.0,45-60 ans,0.8357,Très engagé
CLI00129,46,21,client_actif,1,telephone,NAQ,3559.0,45-60 ans,0.4449,Peu engagé
CLI00130,32,23,résilié,3,agence,IDF,3407.0,30-45 ans,0.3675,Peu engagé
CLI00131,62,21,client_inactif,1,agence,ARA,1200.0,60-80 ans,0.4416,Peu engagé
CLI00132,18,0,client_actif,4,web,BFC,3698.0,,0.7552,Très engagé
CLI00133,42,3,client_actif,4,telephone,IDF,2489.0,30-45 ans,0.8003,Très engagé
CLI00134,24,12,prospect,1,app_mobile,ARA,3155.0,18-30 ans,0.4146,Peu engagé
CLI00135,26,22,résilié,1,web,IDF,2433.0,18-30 ans,0.2641,Peu engagé
CLI00136,41,12,client_actif,2,app_mobile,NAQ,2753.0,30-45 ans,0.7308,Engagé
CLI00137,18,12,client_actif,2,telephone,OCC,3984.0,,0.8225,Très engagé
CLI00138,61,1,client_actif,1,agence,PACA,3102.0,60-80 ans,0.6645,Engagé
CLI00139,25,8,prospect,3,telephone,OCC,3938.0,18-30 ans,0.5172,Engagé
CLI00140,41,23,résilié,2,telephone,NAQ,2754.0,30-45 ans,0.3885,Peu engagé
CLI00141,28,7,client_actif,1,web,PACA,2661.0,18-30 ans,0.7719,Très engagé
CLI00142,68,6,client_actif,1,app_mobile,ARA,2811.0,60-80 ans,0.6653,Engagé
CLI00143,34,3,client_actif,3,web,ARA,1657.0,30-45 ans,0.8518,Très engagé
CLI00144,25,17,client_inactif,1,telephone,NAQ,1200.0,18-30 ans,0.3601,Peu engagé
CLI00145,52,2,client_inactif,3,web,PACA,2097.0,45-60 ans,0.3196,Peu engagé
CLI00146,52,5,client_actif,2,telephone,OCC,3725.0,45-60 ans,0.6491,Engagé
CLI00147,50,11,client_actif,2,web,NAQ,4078.0,45-60 ans,0.6441,Engagé
CLI00148,76,11,client_inactif,4,app_mobile,ARA,1200.0,60-80 ans,0.5415,Engagé
CLI00149,22,20,prospect,4,web,NAQ,3958.0,18-30 ans,0.4712,Peu engagé
CLI00150,59,7,client_actif,2,web,OCC,2267.0,45-60 ans,0.6596,Engagé
CLI00151,56,21,client_actif,1,telephone,IDF,1516.0,45-60 ans,0.6856,Engagé
CLI00152,75,21,résilié,3,web,BFC,3753.0,60-80 ans,0.4012,Peu engagé
CLI00153,58,0,client_actif,2,app_mobile,BFC,2345.0,45-60 ans,0.6429,Engagé
CLI00154,45,3,client_inactif,1,web,BFC,5154.0,30-45 ans,0.41,Peu engagé
CLI00155,24,20,client_actif,4,app_mobile,IDF,2194.0,18-30 ans,0.6677,Engagé
CLI00156,26,10,client_actif,1,web,OCC,2551.0,18-30 ans,0.7916,Très engagé
CLI00157,25,2,client_actif,1,web,PACA,1921.0,18-30 ans,0.6817,Engagé
CLI00158,29,12,client_actif,1,telephone,NAQ,2935.0,18-30 ans,0.6961,Engagé
CLI00159,51,24,client_actif,2,app_mobile,OCC,3517.0,45-60 ans,0.8111,Très engagé
CLI00160,50,16,client_actif,3,web,IDF,1243.0,45-60 ans,0.6231,Engagé
CLI00161,65,21,prospect,1,app_mobile,ARA,3390.0,60-80 ans,0.4635,Peu engagé
CLI00162,72,21,client_inactif,1,web,BFC,2432.0,60-80 ans,0.3594,Peu engagé
CLI00163,40,9,résilié,1,web,BFC,2025.0,30-45 ans,0.4043,Peu engagé
CLI00164,79,20,client_actif,3,app_mobile,OCC,1539.0,60-80 ans,0.8016,Très engagé
CLI00165,41,11,client_actif,1,web,BFC,3681.0,30-45 ans,0.6464,Engagé
CLI00166,54,14,prospect,4,agence,BFC,3058.0,45-60 ans,0.3555,Peu engagé
CLI00167,52,20,client_actif,1,app_mobile,OCC,2276.0,45-60 ans,0.479,Peu engagé
CLI00168,61,9,client_inactif,5,agence,OCC,3502.0,60-80 ans,0.4028,Peu engagé
CLI00169,57,13,prospect,1,telephone,IDF,3277.0,45-60 ans,0.4574,Peu engagé
CLI00170,39,12,client_actif,3,web,IDF,3581.0,30-45 ans,0.7832,Très engagé
CLI00171,44,4,client_inactif,1,web,BFC,4277.0,30-45 ans,0.3351,Peu engagé
CLI00172,52,5,client_actif,1,web,OCC,2996.0,45-60 ans,0.5725,Engagé
CLI00173,18,23,prospect,4,web,OCC,4539.0,,0.3487,Peu engagé
CLI00174,52,1,client_actif,4,telephone,BFC,4085.0,45-60 ans,0.8016,Très engagé
CLI00175,54,21,client_actif,2,agence,PACA,3505.0,45-60 ans,0.6226,Engagé
CLI00176,64,16,client_actif,3,app_mobile,ARA,1278.0,60-80 ans,0.8135,Très engagé
CLI00177,31,3,client_inactif,2,app_mobile,NAQ,2899.0,30-45 ans,0.3923,Peu engagé
CLI00178,20,13,client_inactif,4,web,NAQ,3022.0,18-30 ans,0.2766,Peu engagé
CLI00179,18,9,client_actif,1,app_mobile,BFC,2994.0,,0.7081,Engagé
CLI00180,22,2,résilié,2,agence,NAQ,2701.0,18-30 ans,0.3878,Peu engagé
CLI00181,43,24,client_actif,2,app_mobile,IDF,3381.0,30-45 ans,0.5037,Engagé
CLI00182,72,2,client_inactif,2,web,IDF,3501.0,60-80 ans,0.3961,Peu engagé
CLI00183,31,14,client_actif,4,agence,PACA,1295.0,30-45 ans,0.8505,Très engagé
CLI00184,56,5,client_inactif,1,app_mobile,BFC,4019.0,45-60 ans,0.5041,Engagé
CLI00185,44,16,résilié,1,app_mobile,IDF,1471.0,30-45 ans,0.1805,Dormant
CLI00186,26,11,prospect,2,app_mobile,BFC,2435.0,18-30 ans,0.5099,Engagé
CLI00187,32,21,résilié,3,app_mobile,BFC,2001.0,30-45 ans,0.4287,Peu engagé
CLI00188,32,19,client_inactif,1,agence,OCC,2150.0,30-45 ans,0.431,Peu engagé
CLI00189,43,23,client_inactif,2,telephone,ARA,3778.0,30-45 ans,0.4558,Peu engagé
CLI00190,59,10,client_actif,4,web,ARA,2909.0,45-60 ans,0.4785,Peu engagé
CLI00191,77,24,client_inactif,1,telephone,BFC,3414.0,60-80 ans,0.3993,Peu engagé
CLI00192,30,3,client_inactif,3,app_mobile,ARA,3369.0,18-30 ans,0.2482,Dormant
CLI00193,68,5,client_actif,3,agence,ARA,1200.0,60-80 ans,0.5461,Engagé
CLI00194,49,0,résilié,2,telephone,NAQ,2298.0,45-60 ans,0.438,Peu engagé
CLI00195,56,19,prospect,4,app_mobile,NAQ,3474.0,45-60 ans,0.1981,Dormant
CLI00196,66,22,prospect,3,telephone,OCC,3391.0,60-80 ans,0.3586,Peu engagé
CLI00197,69,15,client_actif,2,web,PACA,1219.0,60-80 ans,0.4157,Peu engagé
CLI00198,78,14,client_actif,2,web,IDF,3727.0,60-80 ans,0.7473,Engagé
CLI00199,49,16,client_actif,3,agence,IDF,3354.0,45-60 ans,0.7354,Engagé
CLI00200,21,7,prospect,2,telephone,NAQ,1933.0,18-30 ans,0.4458,Peu engagé
CLI00201,47,11,résilié,4,telephone,BFC,3168.0,45-60 ans,0.4232,Peu engagé
CLI00202,54,21,prospect,2,agence,ARA,2594.0,45-60 ans,0.517,Engagé
CLI00203,40,20,prospect,1,app_mobile,OCC,3243.0,30-45 ans,0.5129,Engagé
CLI00204,56,9,prospect,1,web,PACA,1200.0,45-60 ans,0.4843,Peu engagé
CLI00205,62,14,client_actif,1,email,NAQ,2483.0,60-80 ans,0.671,Engagé
CLI00206,32,8,résilié,1,web,BFC,3863.0,30-45 ans,0.4063,Peu engagé
CLI00207,60,1,client_actif,4,agence,OCC,3285.0,45-60 ans,0.8164,Très engagé
CLI00208,46,4,client_inactif,3,app_mobile,BFC,3512.0,45-60 ans,0.4326,Peu engagé
CLI00209,53,5,prospect,3,agence,OCC,2590.0,45-60 ans,0.5344,Engagé
CLI00210,30,6,client_actif,2,app_mobile,NAQ,3308.0,18-30 ans,0.6918,Engagé
CLI00211,49,20,client_actif,3,email,OCC,2653.0,45-60 ans,0.5717,Engagé
CLI00212,24,24,client_actif,2,app_mobile,ARA,1968.0,18-30 ans,0.7014,Engagé
CLI00213,76,0,prospect,4,telephone,OCC,2573.0,60-80 ans,0.3924,Peu engagé
CLI00214,68,22,client_actif,2,web,PACA,4109.0,60-80 ans,0.4898,Peu engagé
CLI00215,39,6,client_actif,4,app_mobile,OCC,3819.0,30-45 ans,0.7427,Engagé
CLI00216,45,19,client_inactif,3,agence,IDF,1907.0,30-45 ans,0.3306,Peu engagé
CLI00217,19,24,client_actif,1,agence,OCC,2424.0,18-30 ans,0.6866,Engagé
CLI00218,59,11,prospect,2,telephone,BFC,1968.0,45-60 ans,0.4977,Peu engagé
CLI00219,62,15,client_actif,2,web,NAQ,2962.0,60-80 ans,0.8296,Très engagé
CLI00220,79,15,client_actif,1,web,IDF,3698.0,60-80 ans,0.7642,Très engagé
CLI00221,74,10,client_inactif,2,app_mobile,NAQ,4629.0,60-80 ans,0.4611,Peu engagé
CLI00222,70,20,client_actif,1,web,BFC,1515.0,60-80 ans,0.4207,Peu engagé
CLI00223,23,3,client_actif,1,email,PACA,3573.0,18-30 ans,0.6124,Engagé
CLI00224,45,12,résilié,4,web,ARA,2793.0,30-45 ans,0.3349,Peu engagé
CLI00225,45,6,client_actif,2,app_mobile,PACA,2470.0,30-45 ans,0.457,Peu engagé
CLI00226,61,3,prospect,4,web,IDF,1958.0,60-80 ans,0.4993,Peu engagé
CLI00227,61,14,client_actif,3,app_mobile,BFC,4402.0,60-80 ans,0.6926,Engagé
CLI00228,37,18,client_actif,2,app_mobile,BFC,1334.0,30-45 ans,0.5312,Engagé
CLI00229,47,8,client_inactif,2,web,ARA,2359.0,45-60 ans,0.2827,Peu engagé
CLI00230,79,10,client_inactif,3,web,OCC,3131.0,60-80 ans,0.1034,Dormant
CLI00231,28,7,résilié,5,app_mobile,IDF,3208.0,18-30 ans,0.3184,Peu engagé
CLI00232,75,0,client_actif,1,email,ARA,3922.0,60-80 ans,0.6397,Engagé
CLI00233,72,22,client_actif,4,web,NAQ,2007.0,60-80 ans,0.7054,Engagé
CLI00234,45,24,client_inactif,4,app_mobile,ARA,3362.0,30-45 ans,0.4388,Peu engagé
CLI00235,42,23,prospect,3,email,NAQ,2743.0,30-45 ans,0.3727,Peu engagé
CLI00236,56,7,client_actif,4,agence,NAQ,2836.0,45-60 ans,0.6536,Engagé
CLI00237,79,12,client_actif,2,email,BFC,2386.0,60-80 ans,0.7722,Très engagé
CLI00238,50,21,prospect,5,email,ARA,2946.0,45-60 ans,0.4083,Peu engagé
CLI00239,18,3,client_actif,3,app_mobile,BFC,2672.0,,0.5201,Engagé
CLI00240,74,7,client_inactif,1,agence,BFC,2479.0,60-80 ans,0.3714,Peu engagé
CLI00241,44,2,client_inactif,4,web,PACA,2327.0,30-45 ans,0.3384,Peu engagé
CLI00242,79,8,prospect,2,app_mobile,PACA,3135.0,60-80 ans,0.4202,Peu engagé
CLI00243,74,1,prospect,2,telephone,BFC,1602.0,60-80 ans,0.4651,Peu engagé
CLI00244,69,1,client_actif,2,app_mobile,BFC,2627.0,60-80 ans,0.7267,Engagé
CLI00245,30,12,client_inactif,1,agence,NAQ,2109.0,18-30 ans,0.465,Peu engagé
CLI00246,58,14,prospect,2,agence,BFC,2689.0,45-60 ans,0.4586,Peu engagé
CLI00247,20,22,client_inactif,3,web,IDF,2701.0,18-30 ans,0.3002,Peu engagé
CLI00248,56,11,prospect,1,telephone,ARA,3580.0,45-60 ans,0.4808,Peu engagé
CLI00249,23,3,client_actif,1,app_mobile,IDF,3393.0,18-30 ans,0.6429,Engagé
CLI00250,25,7,client_actif,1,web,PACA,3063.0,18-30 ans,0.5025,Engagé
CLI00251,44,8,client_inactif,2,telephone,IDF,2955.0,30-45 ans,0.4856,Peu engagé
CLI00252,26,22,client_actif,3,app_mobile,OCC,2628.0,18-30 ans,0.7681,Très engagé
CLI00253,79,4,client_actif,3,agence,OCC,2612.0,60-80 ans,0.8039,Très engagé
CLI00254,54,23,client_actif,4,app_mobile,PACA,1227.0,45-60 ans,0.7219,Engagé
CLI00255,50,19,client_inactif,2,app_mobile,IDF,3460.0,45-60 ans,0.2395,Dormant
CLI00256,68,17,client_inactif,1,telephone,ARA,3040.0,60-80 ans,0.3623,Peu engagé
CLI00257,59,10,prospect,4,app_mobile,PACA,3880.0,45-60 ans,0.5438,Engagé
CLI00258,61,14,client_inactif,3,app_mobile,OCC,2301.0,60-80 ans,0.2107,Dormant
CLI00259,41,21,client_actif,2,web,PACA,3934.0,30-45 ans,0.7343,Engagé
CLI00260,32,8,prospect,3,telephone,IDF,2627.0,30-45 ans,0.4034,Peu engagé
CLI00261,76,16,client_actif,4,web,IDF,2284.0,60-80 ans,0.5856,Engagé
CLI00262,71,11,client_actif,3,telephone,IDF,4191.0,60-80 ans,0.5811,Engagé
CLI00263,49,6,client_inactif,2,app_mobile,NAQ,3128.0,45-60 ans,0.5079,Engagé
CLI00264,49,9,client_inactif,3,agence,IDF,4304.0,45-60 ans,0.3917,Peu engagé
CLI00265,41,24,prospect,1,telephone,BFC,2953.0,30-45 ans,0.6162,Engagé
CLI00266,58,24,client_actif,2,web,OCC,3527.0,45-60 ans,0.6736,Engagé
CLI00267,69,9,client_inactif,2,app_mobile,OCC,3726.0,60-80 ans,0.4527,Peu engagé
CLI00268,66,12,résilié,1,agence,NAQ,2547.0,60-80 ans,0.4768,Peu engagé
CLI00269,79,18,client_actif,1,agence,OCC,3111.0,60-80 ans,0.6721,Engagé
CLI00270,66,10,résilié,1,app_mobile,OCC,2939.0,60-80 ans,0.4711,Peu engagé
CLI00271,75,12,client_actif,3,agence,PACA,3549.0,60-80 ans,0.7812,Très engagé
CLI00272,69,20,client_actif,3,agence,IDF,1841.0,60-80 ans,0.655,Engagé
CLI00273,29,7,client_inactif,5,telephone,BFC,3341.0,18-30 ans,0.4968,Peu engagé
CLI00274,79,7,client_actif,1,agence,BFC,3628.0,60-80 ans,0.4898,Peu engagé
CLI00275,56,3,client_actif,2,app_mobile,PACA,2185.0,45-60 ans,0.7946,Très engagé
CLI00276,19,14,client_actif,4,email,BFC,2007.0,18-30 ans,0.6712,Engagé
CLI00277,20,10,client_inactif,1,app_mobile,PACA,1308.0,18-30 ans,0.2939,Peu engagé
CLI00278,66,10,client_inactif,3,web,BFC,4671.0,60-80 ans,0.3067,Peu engagé
CLI00279,54,0,client_actif,3,app_mobile,OCC,2141.0,45-60 ans,0.5676,Engagé
CLI00280,66,16,client_actif,1,web,ARA,4076.0,60-80 ans,0.7741,Très engagé
CLI00281,73,14,client_actif,4,web,IDF,2613.0,60-80 ans,0.7924,Très engagé
CLI00282,34,19,client_actif,3,web,ARA,3788.0,30-45 ans,0.4845,Peu engagé
CLI00283,76,5,client_actif,1,web,OCC,3323.0,60-80 ans,0.8612,Très engagé
CLI00284,66,23,client_inactif,1,agence,NAQ,4692.0,60-80 ans,0.3899,Peu engagé
CLI00285,19,21,client_actif,1,web,PACA,4101.0,18-30 ans,0.5049,Engagé
CLI00286,19,24,client_actif,1,web,BFC,2992.0,18-30 ans,0.68,Engagé
CLI00287,45,14,prospect,2,web,BFC,3079.0,30-45 ans,0.5163,Engagé
CLI00288,71,8,client_actif,2,web,OCC,3411.0,60-80 ans,0.7373,Engagé
CLI00289,40,13,résilié,1,web,BFC,5213.0,30-45 ans,0.3405,Peu engagé
CLI00290,54,17,client_actif,4,app_mobile,OCC,2861.0,45-60 ans,0.8672,Très engagé
CLI00291,49,16,client_actif,2,email,ARA,1637.0,45-60 ans,0.6227,Engagé
CLI00292,50,17,client_actif,1,telephone,NAQ,3020.0,45-60 ans,0.72,Engagé
