interaction_id,client_id,date,canal,type_interaction,duree_minutes,satisfaction,resultat
INT0000100,CLI00013,2023-04-25,web,devis_en_ligne,7,4,abandon
INT0000101,CLI00013,2024-07-12,web,souscription,3,5,succès
INT0000102,CLI00013,2024-08-19,web,espace_client,3,7,succès
INT0000103,CLI00013,2023-05-11,web,souscription,13,7,succès
INT0000104,CLI00014,2023-02-10,app_mobile,declaration_sinistre,2,5,succès
INT0000105,CLI00015,2024-11-13,app_mobile,paiement,4,4,abandon
INT0000106,CLI00015,2024-09-27,app_mobile,declaration_sinistre,4,8,abandon
INT0000107,CLI00015,2023-07-01,web,devis_en_ligne,13,10,succès
INT0000108,CLI00015,2023-12-07,telephone,appel_sortant,14,5,succès
INT0000109,CLI00016,2023-10-01,telephone,appel_entrant,24,7,escalade
INT0000110,CLI00017,2024-01-27,telephone,appel_sortant,29,7,succès
INT0000111,CLI00017,2023-07-24,telephone,reclamation,4,8,succès
INT0000112,CLI00017,2023-11-09,app_mobile,declaration_sinistre,11,4,en_attente
INT0000113,CLI00018,2023-01-25,telephone,reclamation,4,6,succès
INT0000114,CLI00018,2023-10-13,agence,reclamation,62,6,abandon
INT0000115,CLI00018,2024-10-18,web,souscription,8,3,succès
INT0000116,CLI00018,2023-01-29,web,souscription,7,4,abandon
INT0000117,CLI00018,2023-07-02,web,souscription,3,7,succès
INT0000118,CLI00018,2023-02-09,web,espace_client,4,7,escalade
INT0000119,CLI00018,2023-12-20,agence,renouvellement,43,5,succès
INT0000120,CLI00019,2024-09-12,web,espace_client,1,7,succès
INT0000121,CLI00019,2024-08-13,app_mobile,ouverture_app,13,7,en_attente
INT0000122,CLI00019,2024-12-26,app_mobile,declaration_sinistre,12,7,succès
INT0000123,CLI00019,2024-01-08,app_mobile,consultation_contrat,14,5,abandon
INT0000124,CLI00019,2024-09-30,app_mobile,ouverture_app,5,9,succès
INT0000125,CLI00019,2023-11-04,app_mobile,paiement,3,6,en_attente
INT0000126,CLI00019,2023-12-01,app_mobile,consultation_contrat,1,3,succès
INT0000127,CLI00019,2024-07-21,app_mobile,paiement,5,9,en_attente
INT0000128,CLI00019,2024-11-11,app_mobile,consultation_contrat,8,7,escalade
INT0000129,CLI00019,2024-02-20,app_mobile,ouverture_app,3,8,abandon
INT0000130,CLI00020,2023-11-08,web,espace_client,5,8,succès
INT0000131,CLI00021,2024-08-16,agence,renouvellement,25,5,escalade
INT0000132,CLI00021,2024-03-28,app_mobile,declaration_sinistre,14,8,succès
INT0000133,CLI00021,2024-06-07,app_mobile,declaration_sinistre,5,5,succès
INT0000134,CLI00021,2024-11-05,app_mobile,consultation_contrat,6,5,abandon
INT0000135,CLI00021,2023-04-06,app_mobile,consultation_contrat,9,4,abandon
INT0000136,CLI00021,2023-08-19,app_mobile,ouverture_app,11,8,abandon
INT0000137,CLI00021,2023-02-17,app_mobile,paiement,4,4,succès
INT0000138,CLI00021,2024-09-17,web,espace_client,2,8,succès
INT0000139,CLI00021,2024-02-29,email,email_clique,8,4,abandon
INT0000140,CLI00021,2024-12-14,app_mobile,paiement,11,5,succès
INT0000141,CLI00021,2023-09-07,app_mobile,ouverture_app,1,7,succès
INT0000142,CLI00021,2023-04-20,app_mobile,declaration_sinistre,8,6,succès
INT0000143,CLI00021,2024-12-13,app_mobile,ouverture_app,3,6,succès
INT0000144,CLI00021,2024-07-24,app_mobile,ouverture_app,10,1,succès
INT0000145,CLI00022,2024-04-12,app_mobile,paiement,10,8,succès
INT0000146,CLI00022,2024-11-14,app_mobile,consultation_contrat,3,10,succès
INT0000147,CLI00022,2024-03-29,email,reponse_email,14,10,succès
INT0000148,CLI00023,2024-07-15,app_mobile,declaration_sinistre,6,5,succès
INT0000149,CLI00023,2024-05-01,app_mobile,declaration_sinistre,7,6,succès
INT0000150,CLI00023,2024-10-14,app_mobile,paiement,6,3,succès
INT0000151,CLI00023,2024-10-03,app_mobile,paiement,4,5,succès
INT0000152,CLI00023,2023-03-21,app_mobile,consultation_contrat,8,4,escalade
INT0000153,CLI00024,2023-12-10,web,visite_site,12,5,succès
INT0000154,CLI00024,2023-05-22,web,espace_client,12,5,abandon
INT0000155,CLI00024,2024-12-11,web,devis_en_ligne,4,3,abandon
INT0000156,CLI00024,2023-03-07,web,souscription,6,9,succès
INT0000157,CLI00024,2024-07-09,web,visite_site,5,1,succès
INT0000158,CLI00024,2023-07-31,telephone,appel_entrant,17,9,succès
INT0000159,CLI00024,2024-08-12,web,visite_site,7,8,succès
INT0000160,CLI00025,2023-12-27,web,espace_client,12,5,succès
INT0000161,CLI00025,2024-03-05,web,devis_en_ligne,8,6,succès
INT0000162,CLI00025,2024-05-14,web,espace_client,4,6,succès
INT0000163,CLI00025,2024-05-12,web,souscription,2,8,abandon
INT0000164,CLI00025,2024-11-15,telephone,appel_sortant,17,9,succès
INT0000165,CLI00025,2024-04-23,email,email_ouvert,3,4,succès
INT0000166,CLI00025,2024-02-08,web,visite_site,4,9,abandon
INT0000167,CLI00025,2023-03-27,app_mobile,paiement,5,6,abandon
INT0000168,CLI00025,2023-07-06,web,espace_client,9,10,abandon
INT0000169,CLI00025,2023-12-02,web,souscription,1,6,abandon
INT0000170,CLI00025,2023-12-12,telephone,reclamation,25,7,succès
INT0000171,CLI00025,2024-03-07,web,visite_site,9,7,succès
INT0000172,CLI00025,2024-04-26,web,visite_site,8,6,succès
INT0000173,CLI00025,2023-12-25,web,visite_site,6,6,succès
INT0000174,CLI00025,2024-10-29,web,visite_site,5,6,abandon
INT0000175,CLI00026,2023-09-11,telephone,appel_entrant,25,9,abandon
INT0000176,CLI00026,2024-09-28,telephone,appel_sortant,29,8,succès
INT0000177,CLI00026,2024-04-29,email,email_clique,2,6,succès
INT0000178,CLI00027,2024-04-21,agence,souscription,70,6,succès
INT0000179,CLI00027,2024-09-12,web,devis_en_ligne,5,7,succès
INT0000180,CLI00027,2023-11-15,telephone,appel_entrant,27,7,abandon
INT0000181,CLI00027,2023-11-16,telephone,resiliation,23,7,succès
INT0000182,CLI00027,2024-02-11,app_mobile,ouverture_app,7,6,succès
INT0000183,CLI00027,2024-08-29,app_mobile,ouverture_app,1,8,succès
INT0000184,CLI00027,2024-12-14,email,email_ouvert,2,5,succès
INT0000185,CLI00027,2024-08-02,agence,renouvellement,50,7,succès
INT0000186,CLI00027,2024-11-08,telephone,reclamation,14,9,succès
INT0000187,CLI00027,2023-01-13,telephone,appel_entrant,13,6,abandon
INT0000188,CLI00027,2024-03-19,telephone,appel_sortant,19,9,abandon
INT0000189,CLI00027,2024-03-21,telephone,reclamation,18,7,succès
INT0000190,CLI00028,2024-09-22,email,reponse_email,9,6,succès
INT0000191,CLI00028,2024-04-21,web,souscription,7,5,succès
INT0000192,CLI00028,2023-11-27,web,souscription,13,10,escalade
INT0000193,CLI00028,2024-04-06,web,espace_client,12,8,succès
INT0000194,CLI00028,2024-08-06,telephone,reclamation,23,8,abandon
INT0000195,CLI00028,2023-01-30,web,souscription,11,5,abandon
INT0000196,CLI00028,2023-07-06,web,souscription,5,6,succès
INT0000197,CLI00028,2023-09-22,web,souscription,11,6,succès
INT0000198,CLI00028,2024-07-23,web,devis_en_ligne,13,5,succès
INT0000199,CLI00028,2023-03-29,web,espace_client,13,6,succès
INT0000200,CLI00028,2024-05-15,web,devis_en_ligne,3,2,succès
INT0000201,CLI00028,2024-12-08,web,espace_client,3,4,succès
INT0000202,CLI00029,2024-04-03,web,souscription,5,5,succès
INT0000203,CLI00029,2023-08-15,web,devis_en_ligne,14,7,en_attente
INT0000204,CLI00029,2023-11-10,agence,renouvellement,41,7,succès
INT0000205,CLI00029,2024-07-20,web,espace_client,12,7,en_attente
INT0000206,CLI00029,2024-07-17,web,espace_client,3,7,abandon
INT0000207,CLI00029,2023-10-05,web,devis_en_ligne,8,9,succès
INT0000208,CLI00029,2023-05-04,agence,rdv_conseiller,28,5,abandon
INT0000209,CLI00029,2024-07-02,app_mobile,declaration_sinistre,10,8,succès
INT0000210,CLI00029,2023-08-10,agence,reclamation,75,6,escalade
INT0000211,CLI00029,2023-04-13,agence,souscription,64,5,abandon
INT0000212,CLI00029,2024-01-05,web,visite_site,5,7,succès
INT0000213,CLI00029,2024-12-26,web,souscription,10,6,succès
INT0000214,CLI00029,2023-02-16,email,email_ignore,9,3,en_attente
INT0000215,CLI00029,2024-12-15,telephone,appel_entrant,13,9,succès
INT0000216,CLI00030,2023-01-13,web,espace_client,4,4,succès
INT0000217,CLI00030,2024-05-05,web,devis_en_ligne,5,5,abandon
INT0000218,CLI00030,2023-02-22,web,espace_client,14,7,escalade
INT0000219,CLI00031,2023-04-27,telephone,resiliation,17,6,succès
INT0000220,CLI00031,2023-03-17,agence,rdv_conseiller,62,9,succès
INT0000221,CLI00031,2023-06-05,agence,reclamation,58,7,succès
INT0000222,CLI00031,2023-03-29,web,espace_client,2,4,abandon
INT0000223,CLI00032,2024-09-12,agence,souscription,81,4,succès
INT0000224,CLI00032,2024-06-19,agence,renouvellement,45,9,succès
INT0000225,CLI00032,2023-11-01,telephone,reclamation,13,8,escalade
INT0000226,CLI00032,2024-08-05,email,email_ouvert,9,5,succès
INT0000227,CLI00032,2023-08-01,agence,rdv_conseiller,37,5,abandon
INT0000228,CLI00032,2023-06-10,agence,rdv_conseiller,53,6,succès
INT0000229,CLI00032,2023-06-10,agence,renouvellement,69,6,escalade
INT0000230,CLI00032,2024-12-06,agence,reclamation,55,8,succès
INT0000231,CLI00032,2023-02-03,agence,reclamation,57,5,succès
INT0000232,CLI00033,2024-12-20,web,devis_en_ligne,3,7,abandon
INT0000233,CLI00033,2023-09-28,email,email_clique,1,6,succès
INT0000234,CLI00033,2024-03-11,app_mobile,declaration_sinistre,4,7,abandon
INT0000235,CLI00033,2024-10-25,app_mobile,consultation_contrat,8,5,abandon
INT0000236,CLI00033,2023-05-26,app_mobile,declaration_sinistre,6,9,abandon
INT0000237,CLI00033,2023-11-11,app_mobile,consultation_contrat,6,7,en_attente
INT0000238,CLI00034,2024-03-25,agence,reclamation,75,6,en_attente
INT0000239,CLI00034,2024-12-17,agence,reclamation,19,9,abandon
INT0000240,CLI00035,2024-05-27,agence,renouvellement,26,9,en_attente
INT0000241,CLI00035,2023-03-24,agence,renouvellement,81,8,succès
INT0000242,CLI00035,2023-11-27,web,visite_site,10,6,succès
INT0000243,CLI00035,2023-08-23,email,email_ouvert,12,5,en_attente
INT0000244,CLI00036,2024-11-19,email,email_ouvert,9,9,abandon
INT0000245,CLI00036,2023-06-29,telephone,resiliation,12,7,succès
INT0000246,CLI00036,2023-10-12,telephone,resiliation,3,9,abandon
INT0000247,CLI00036,2024-10-12,web,espace_client,1,6,succès
INT0000248,CLI00036,2023-12-23,telephone,reclamation,25,5,succès
INT0000249,CLI00036,2024-11-17,telephone,appel_sortant,20,8,succès
INT0000250,CLI00036,2023-12-04,telephone,resiliation,13,8,succès
INT0000251,CLI00036,2023-10-23,telephone,appel_entrant,4,9,succès
INT0000252,CLI00036,2024-04-10,telephone,reclamation,22,10,succès
INT0000253,CLI00036,2023-11-28,telephone,resiliation,19,8,abandon
INT0000254,CLI00036,2024-06-10,web,espace_client,5,5,succès
INT0000255,CLI00036,2024-02-28,telephone,reclamation,14,10,succès
INT0000256,CLI00036,2024-09-29,telephone,appel_entrant,20,7,succès
INT0000257,CLI00036,2023-07-28,telephone,appel_sortant,15,9,abandon
INT0000258,CLI00036,2023-10-22,telephone,resiliation,13,6,abandon
INT0000259,CLI00036,2023-05-05,telephone,appel_sortant,28,6,succès
INT0000260,CLI00036,2024-12-27,telephone,appel_entrant,18,8,succès
INT0000261,CLI00036,2024-07-19,telephone,appel_sortant,15,6,en_attente
INT0000262,CLI00036,2023-04-27,telephone,appel_entrant,20,8,succès
INT0000263,CLI00036,2024-10-25,telephone,reclamation,29,9,succès
INT0000264,CLI00036,2024-06-05,telephone,resiliation,13,8,abandon
INT0000265,CLI00037,2024-04-28,web,devis_en_ligne,6,7,abandon
INT0000266,CLI00038,2024-01-28,web,devis_en_ligne,6,5,escalade
INT0000267,CLI00038,2023-03-13,web,espace_client,3,6,abandon
INT0000268,CLI00038,2023-12-15,email,email_ignore,7,5,succès
INT0000269,CLI00038,2023-01-03,web,souscription,12,7,succès
INT0000270,CLI00038,2024-08-24,web,espace_client,10,7,succès
INT0000271,CLI00038,2023-06-02,web,espace_client,12,7,succès
INT0000272,CLI00038,2023-12-20,web,espace_client,9,9,succès
INT0000273,CLI00038,2024-04-11,app_mobile,declaration_sinistre,12,4,succès
INT0000274,CLI00038,2024-08-08,web,espace_client,1,6,succès
INT0000275,CLI00038,2023-02-14,web,espace_client,7,4,succès
INT0000276,CLI00039,2024-12-23,telephone,resiliation,14,5,succès
INT0000277,CLI00040,2024-11-10,app_mobile,paiement,13,9,abandon
INT0000278,CLI00040,2023-02-07,telephone,reclamation,28,7,succès
INT0000279,CLI00040,2023-04-13,telephone,appel_entrant,26,9,succès
INT0000280,CLI00040,2024-06-22,web,devis_en_ligne,2,3,en_attente
INT0000281,CLI00040,2024-02-24,app_mobile,ouverture_app,13,9,succès
INT0000282,CLI00040,2024-04-25,agence,reclamation,18,8,abandon
INT0000283,CLI00040,2024-09-30,web,souscription,7,5,abandon
INT0000284,CLI00040,2024-11-21,telephone,reclamation,27,6,succès
INT0000285,CLI00040,2024-10-03,telephone,appel_entrant,22,6,succès
INT0000286,CLI00040,2024-09-24,telephone,reclamation,16,5,abandon
INT0000287,CLI00040,2023-08-21,telephone,appel_entrant,14,9,succès
INT0000288,CLI00040,2024-10-10,web,espace_client,6,8,succès
INT0000289,CLI00040,2023-06-20,web,visite_site,6,3,succès
INT0000290,CLI00040,2023-11-29,agence,reclamation,53,7,succès
INT0000291,CLI00040,2024-01-19,telephone,appel_sortant,9,5,abandon
INT0000292,CLI00040,2024-06-27,telephone,appel_sortant,24,7,succès
INT0000293,CLI00040,2023-06-24,telephone,resiliation,26,9,abandon
INT0000294,CLI00041,2024-09-26,telephone,appel_sortant,28,8,succès
INT0000295,CLI00041,2023-08-26,agence,reclamation,43,7,abandon
INT0000296,CLI00041,2024-04-15,agence,rdv_conseiller,49,4,succès
INT0000297,CLI00042,2024-04-21,email,email_clique,2,6,succès
INT0000298,CLI00042,2023-03-17,app_mobile,consultation_contrat,11,4,en_attente
INT0000299,CLI00042,2024-08-24,app_mobile,paiement,10,9,succès
INT0000300,CLI00043,2024-12-07,web,souscription,3,7,succès
INT0000301,CLI00043,2023-07-23,telephone,appel_entrant,11,6,succès
INT0000302,CLI00043,2023-08-31,web,souscription,6,9,en_attente
INT0000303,CLI00043,2024-08-11,web,souscription,12,4,succès
INT0000304,CLI00043,2023-01-23,telephone,reclamation,11,8,succès
INT0000305,CLI00043,2023-01-09,web,visite_site,2,6,succès
INT0000306,CLI00043,2024-09-12,agence,souscription,82,7,succès
INT0000307,CLI00043,2024-09-13,app_mobile,declaration_sinistre,12,2,succès
INT0000308,CLI00043,2024-09-27,web,devis_en_ligne,13,8,escalade
INT0000309,CLI00043,2024-10-05,web,visite_site,2,8,succès
INT0000310,CLI00043,2023-11-13,web,souscription,6,7,en_attente
INT0000311,CLI00043,2023-05-15,web,souscription,10,4,succès
INT0000312,CLI00043,2023-12-01,app_mobile,declaration_sinistre,11,5,succès
INT0000313,CLI00043,2023-05-16,agence,reclamation,29,7,escalade
INT0000314,CLI00043,2023-06-18,web,espace_client,14,7,succès
INT0000315,CLI00043,2023-10-30,agence,rdv_conseiller,20,8,abandon
INT0000316,CLI00044,2024-04-24,app_mobile,declaration_sinistre,10,4,abandon
INT0000317,CLI00044,2024-11-23,telephone,reclamation,28,5,abandon
INT0000318,CLI00044,2023-04-03,web,souscription,6,4,en_attente
INT0000319,CLI00044,2024-07-03,web,souscription,2,2,abandon
INT0000320,CLI00044,2024-11-19,agence,renouvellement,56,7,succès
INT0000321,CLI00044,2024-10-15,web,devis_en_ligne,12,5,succès
INT0000322,CLI00044,2024-04-27,web,souscription,10,5,succès
INT0000323,CLI00044,2024-09-16,web,visite_site,2,8,succès
INT0000324,CLI00044,2024-10-12,agence,renouvellement,71,7,en_attente
INT0000325,CLI00044,2023-04-30,web,visite_site,12,7,abandon
INT0000326,CLI00044,2023-11-08,web,visite_site,13,7,succès
INT0000327,CLI00044,2023-08-29,app_mobile,paiement,6,9,escalade
INT0000328,CLI00044,2024-04-09,web,espace_client,2,8,succès
INT0000329,CLI00045,2024-08-24,app_mobile,paiement,2,6,escalade
INT0000330,CLI00045,2024-11-01,web,espace_client,11,8,succès
INT0000331,CLI00045,2024-09-22,web,souscription,8,7,succès
INT0000332,CLI00045,2023-02-03,app_mobile,paiement,7,10,succès
INT0000333,CLI00045,2024-03-31,agence,rdv_conseiller,26,9,succès
INT0000334,CLI00045,2024-12-03,web,souscription,6,5,succès
INT0000335,CLI00045,2023-03-04,web,devis_en_ligne,3,3,succès
INT0000336,CLI00045,2023-05-06,telephone,appel_entrant,8,9,en_attente
INT0000337,CLI00045,2024-11-09,web,visite_site,1,2,succès
INT0000338,CLI00045,2023-02-21,app_mobile,declaration_sinistre,9,10,abandon
INT0000339,CLI00045,2024-08-01,web,devis_en_ligne,1,5,succès
INT0000340,CLI00045,2024-08-23,web,devis_en_ligne,11,9,abandon
INT0000341,CLI00045,2023-12-03,email,email_ouvert,1,4,succès
INT0000342,CLI00045,2023-10-11,app_mobile,declaration_sinistre,9,3,succès
INT0000343,CLI00045,2024-07-07,web,devis_en_ligne,5,9,escalade
INT0000344,CLI00045,2023-04-23,web,devis_en_ligne,12,8,abandon
INT0000345,CLI00045,2023-01-16,web,devis_en_ligne,13,0,abandon
INT0000346,CLI00045,2024-08-25,web,devis_en_ligne,2,8,en_attente
INT0000347,CLI00045,2023-09-29,web,espace_client,1,6,abandon
INT0000348,CLI00046,2024-06-22,app_mobile,ouverture_app,14,6,en_attente
INT0000349,CLI00046,2024-05-02,app_mobile,consultation_contrat,7,6,abandon
INT0000350,CLI00046,2024-06-09,app_mobile,paiement,5,3,succès
INT0000351,CLI00047,2024-05-30,web,visite_site,13,6,abandon
INT0000352,CLI00047,2024-11-05,web,espace_client,8,8,succès
INT0000353,CLI00047,2024-10-20,web,espace_client,2,6,succès
INT0000354,CLI00047,2024-02-16,web,visite_site,3,8,succès
INT0000355,CLI00047,2024-05-17,telephone,appel_entrant,10,9,succès
INT0000356,CLI00048,2023-03-24,web,devis_en_ligne,10,6,succès
INT0000357,CLI00048,2023-03-09,web,souscription,11,5,succès
INT0000358,CLI00048,2024-01-26,email,email_ignore,6,9,succès
INT0000359,CLI00048,2024-04-09,web,espace_client,5,7,succès
INT0000360,CLI00048,2023-04-12,web,devis_en_ligne,6,3,succès
INT0000361,CLI00049,2024-03-16,agence,souscription,43,9,abandon
INT0000362,CLI00050,2024-02-28,web,espace_client,7,5,abandon
INT0000363,CLI00050,2024-02-13,web,visite_site,10,5,succès
INT0000364,CLI00050,2023-11-17,web,souscription,14,8,succès
INT0000365,CLI00050,2024-01-19,telephone,appel_entrant,14,9,succès
INT0000366,CLI00050,2023-04-04,web,espace_client,7,10,succès
INT0000367,CLI00050,2023-04-09,agence,souscription,31,6,succès
INT0000368,CLI00050,2024-07-23,web,souscription,13,2,succès
INT0000369,CLI00050,2024-11-17,web,souscription,6,8,abandon
INT0000370,CLI00050,2024-11-12,telephone,appel_entrant,28,9,abandon
INT0000371,CLI00050,2023-10-22,agence,rdv_conseiller,50,5,succès
INT0000372,CLI00050,2024-08-14,web,devis_en_ligne,11,5,succès
INT0000373,CLI00050,2024-11-03,web,visite_site,13,7,succès
INT0000374,CLI00050,2023-12-25,agence,rdv_conseiller,68,10,succès
INT0000375,CLI00050,2023-10-13,web,espace_client,13,6,succès
INT0000376,CLI00050,2024-07-28,email,email_ouvert,11,9,succès
INT0000377,CLI00050,2024-09-15,agence,rdv_conseiller,72,3,en_attente
INT0000378,CLI00050,2023-07-04,web,souscription,5,1,succès
INT0000379,CLI00050,2023-12-14,web,devis_en_ligne,14,4,succès
INT0000380,CLI00050,2023-05-27,web,espace_client,11,9,abandon
INT0000381,CLI00050,2023-03-13,web,visite_site,5,5,succès
INT0000382,CLI00050,2023-04-04,app_mobile,paiement,5,2,en_attente
INT0000383,CLI00050,2024-03-05,web,devis_en_ligne,12,5,abandon
INT0000384,CLI00050,2024-01-14,web,souscription,3,5,succès
INT0000385,CLI00050,2024-08-04,web,visite_site,6,5,succès
INT0000386,CLI00051,2023-06-09,app_mobile,ouverture_app,12,6,abandon
INT0000387,CLI00051,2024-11-21,app_mobile,paiement,9,7,succès
