client_id,age,anciennete_ans,statut,nb_produits,canal_principal,region,revenu_mensuel,nb_contrats_actifs,prime_totale_annuelle,produits,nb_sinistres_total,nb_interactions_total,satisfaction_moy,derniere_interaction,canaux_utilises,nb_sinistres_declares,montant_total_indemnise,dernier_sinistre,ltv_estimee
CLI00027,55,17,client_actif,3,telephone,NAQ,2999.0,3,1296.14,"auto, habitation, prevoyance",3,12,7.0,2024-12-14,"agence, app_mobile, email, telephone, web",3,13315.84,2019-08-21,12961.0
CLI00028,19,23,client_actif,2,web,NAQ,4136.0,2,729.79,"habitation, prevoyance",1,12,5.92,2024-12-08,"email, telephone, web",1,4984.14,2013-03-09,33570.0
CLI00029,77,1,client_actif,2,web,PACA,1204.0,2,1557.12,"auto, sante",2,14,6.5,2024-12-26,"agence, app_mobile, email, telephone, web",2,3268.97,2024-09-01,0.0
CLI00030,38,10,résilié,3,web,BFC,2826.0,0,1747.63,"habitation, prevoyance, sante",2,3,5.33,2024-05-05,web,2,20454.04,2024-07-31,47186.0
CLI00031,50,8,client_inactif,1,agence,ARA,2772.0,1,230.25,habitation,2,4,6.5,2023-06-05,"agence, telephone, web",2,26161.53,2023-03-05,3454.0
CLI00032,29,11,client_actif,3,agence,PACA,2091.0,3,1951.85,"auto, habitation, sante",2,9,6.22,2024-12-06,"agence, email, telephone",2,7364.17,2022-11-09,70267.0
CLI00033,75,16,prospect,3,app_mobile,BFC,2653.0,3,1368.04,"auto, habitation, prevoyance",4,6,6.83,2024-12-20,"app_mobile, email, web",4,34596.83,2022-04-05,0.0
CLI00034,39,14,prospect,2,agence,NAQ,3081.0,1,2309.16,"epargne, habitation",2,2,7.5,2024-12-17,agence,2,16883.96,2024-08-17,60038.0
CLI00035,78,24,prospect,4,agence,NAQ,2128.0,3,2433.99,"auto, habitation, prevoyance, sante",0,4,7.0,2024-05-27,"agence, email, web",0,0.0,,0.0
CLI00036,61,16,client_actif,3,telephone,IDF,2850.0,2,2852.16,"epargne, habitation, prevoyance",2,21,7.67,2024-12-27,"email, telephone, web",2,41434.79,2024-07-28,11409.0
CLI00037,42,17,résilié,1,web,OCC,1882.0,0,299.83,habitation,0,1,7.0,2024-04-28,web,0,0.0,,6896.0
CLI00038,66,21,client_actif,2,web,IDF,2616.0,2,924.84,"auto, habitation",0,10,6.0,2024-08-24,"app_mobile, email, web",0,0.0,,0.0
CLI00039,44,5,client_inactif,2,web,PACA,3636.0,1,3061.4,"epargne, sante",4,1,5.0,2024-12-23,telephone,4,6140.41,2024-12-31,64289.0
CLI00040,76,16,client_actif,1,telephone,IDF,3678.0,1,693.66,auto,1,17,6.76,2024-11-21,"agence, app_mobile, telephone, web",1,6613.97,2021-09-25,0.0
CLI00041,59,22,client_inactif,5,agence,BFC,3855.0,1,3801.39,"auto, epargne, habitation, prevoyance, sante",5,3,6.33,2024-09-26,"agence, telephone",5,25136.28,2024-06-02,22808.0
CLI00042,45,23,client_inactif,1,app_mobile,ARA,2709.0,1,320.28,habitation,0,3,6.33,2024-08-24,"app_mobile, email",0,0.0,,6406.0
CLI00043,77,17,client_actif,3,web,BFC,2506.0,3,1703.68,"habitation, prevoyance, sante",0,16,6.44,2024-12-07,"agence, app_mobile, telephone, web",0,0.0,,0.0
CLI00044,33,7,client_actif,2,web,IDF,3464.0,2,1558.21,"habitation, sante",0,13,6.0,2024-11-23,"agence, app_mobile, telephone, web",0,0.0,,49863.0
CLI00045,32,8,client_actif,1,web,OCC,3850.0,1,301.13,habitation,2,19,6.37,2024-12-03,"agence, app_mobile, email, telephone, web",2,13233.54,2020-08-22,9937.0
CLI00046,79,5,prospect,4,app_mobile,BFC,2875.0,3,3275.56,"auto, epargne, habitation, prevoyance",3,3,5.0,2024-06-22,app_mobile,3,94415.98,2024-12-24,0.0
CLI00047,79,4,client_actif,4,web,BFC,4161.0,3,4796.51,"auto, epargne, prevoyance, sante",2,5,7.4,2024-11-05,"telephone, web",2,14860.26,2024-12-17,0.0
CLI00048,64,11,client_actif,2,web,BFC,3440.0,2,1505.36,"auto, sante",3,5,6.0,2024-04-09,"email, web",3,10095.61,2020-11-09,1505.0
CLI00049,79,24,résilié,1,agence,OCC,2286.0,0,293.36,habitation,0,1,9.0,2024-03-16,agence,0,0.0,,0.0
CLI00050,68,10,client_actif,1,web,BFC,2395.0,1,641.28,auto,1,24,5.96,2024-11-17,"agence, app_mobile, email, telephone, web",1,1589.78,2020-07-07,0.0
CLI00051,61,24,client_inactif,2,app_mobile,PACA,2764.0,1,856.27,"auto, habitation",1,4,7.25,2024-11-21,app_mobile,1,4231.42,2023-02-08,3425.0
CLI00052,72,0,client_actif,1,web,NAQ,1387.0,1,398.86,prevoyance,0,11,5.55,2024-11-25,"agence, telephone, web",0,0.0,,0.0
CLI00053,69,10,client_inactif,2,telephone,OCC,2302.0,1,2827.2,"auto, epargne",0,3,7.33,2024-12-27,"agence, email, telephone",0,0.0,,0.0
CLI00054,74,18,client_actif,5,app_mobile,NAQ,3827.0,4,4155.3,"auto, epargne, habitation, prevoyance, sante",2,14,6.43,2024-12-07,"app_mobile, email, web",2,65788.59,2024-08-03,0.0
CLI00055,20,8,client_inactif,2,telephone,OCC,4011.0,0,2130.34,"epargne, prevoyance",2,4,6.0,2024-09-21,telephone,2,17883.28,2024-07-06,95865.0
CLI00056,54,1,client_actif,4,app_mobile,OCC,3057.0,4,3899.19,"auto, epargne, habitation, sante",3,6,4.17,2024-04-18,"app_mobile, email",3,33060.6,2024-12-23,42891.0
CLI00057,68,11,client_actif,3,telephone,NAQ,3209.0,2,3078.4,"auto, epargne, prevoyance",1,18,6.61,2024-11-26,"email, telephone",1,2964.64,2024-01-03,0.0
CLI00058,24,3,client_actif,2,telephone,ARA,2521.0,2,723.26,"habitation, prevoyance",2,11,7.27,2024-11-23,"email, telephone",2,24563.44,2024-12-27,29654.0
CLI00059,38,3,client_actif,4,app_mobile,PACA,2774.0,4,3473.2,"auto, epargne, habitation, prevoyance",8,8,5.38,2024-12-29,"agence, app_mobile, telephone, web",8,191181.15,2024-12-20,93776.0
CLI00060,26,17,prospect,2,telephone,OCC,3313.0,1,1011.27,"auto, prevoyance",1,7,6.43,2024-12-13,"app_mobile, email, telephone",1,1877.99,2013-12-01,39440.0
CLI00061,56,14,prospect,4,web,OCC,2404.0,4,3846.36,"auto, epargne, habitation, prevoyance",3,6,7.33,2024-10-16,"telephone, web",3,18910.66,2024-08-09,34617.0
CLI00062,35,18,prospect,1,app_mobile,IDF,4321.0,1,230.59,habitation,1,3,6.67,2024-02-04,"email, web",1,12263.49,2020-03-27,6918.0
CLI00063,21,12,client_inactif,1,web,BFC,3168.0,0,304.82,habitation,0,4,6.5,2024-11-03,"agence, email, web",0,0.0,,13412.0
CLI00064,42,18,client_actif,4,app_mobile,ARA,3201.0,3,3872.66,"epargne, habitation, prevoyance, sante",2,16,5.19,2024-12-13,"agence, app_mobile, email, telephone, web",2,52360.59,2021-11-10,89071.0
CLI00065,77,16,client_actif,2,agence,NAQ,1846.0,2,1471.89,"habitation, sante",0,24,7.17,2024-12-27,"agence, app_mobile, telephone, web",0,0.0,,0.0
CLI00066,31,5,client_inactif,4,agence,PACA,1200.0,3,3832.95,"auto, epargne, prevoyance, sante",5,4,7.0,2024-09-18,"agence, email, telephone, web",5,44086.19,2024-11-19,130320.0
CLI00067,67,15,client_actif,4,web,OCC,3201.0,2,4543.09,"auto, epargne, habitation, sante",2,23,6.7,2024-12-02,"agence, app_mobile, email, telephone, web",2,8534.43,2024-10-25,0.0
CLI00068,75,23,client_actif,1,app_mobile,BFC,2353.0,1,1113.1,sante,0,20,5.5,2024-09-30,"agence, app_mobile, email, telephone, web",0,0.0,,0.0
CLI00069,26,11,client_actif,2,web,PACA,3686.0,2,2478.17,"epargne, prevoyance",3,16,6.69,2024-12-26,"agence, app_mobile, email, web",3,43883.82,2023-11-10,96649.0
CLI00070,43,18,résilié,2,agence,NAQ,1979.0,0,2285.56,"auto, epargne",0,1,9.0,2023-06-05,agence,0,0.0,,50282.0
CLI00071,70,4,client_inactif,2,web,ARA,2322.0,1,1185.63,"auto, prevoyance",2,2,4.0,2024-02-25,"email, web",2,5192.18,2024-11-25,0.0
CLI00072,19,16,client_inactif,3,telephone,IDF,3808.0,2,3561.89,"auto, epargne, prevoyance",2,2,7.0,2024-07-28,telephone,2,13778.12,2014-04-15,163847.0
CLI00073,37,22,client_actif,1,web,ARA,3193.0,1,257.82,habitation,1,9,6.22,2024-12-22,"agence, app_mobile, web",1,12257.74,2008-03-22,7219.0
CLI00074,45,0,client_inactif,2,web,IDF,1899.0,1,888.68,"auto, habitation",0,4,4.5,2024-09-22,"agence, app_mobile, web",0,0.0,,17774.0
CLI00075,64,24,prospect,3,telephone,PACA,2831.0,3,1719.5,"habitation, prevoyance, sante",4,2,5.5,2024-10-15,"email, telephone",4,16989.96,2024-04-13,1720.0
CLI00076,77,23,prospect,1,app_mobile,ARA,4513.0,1,2004.49,epargne,0,1,6.0,2024-02-28,app_mobile,0,0.0,,0.0
CLI00077,49,22,prospect,3,web,ARA,2929.0,2,2777.75,"auto, epargne, prevoyance",2,5,7.0,2024-10-30,"app_mobile, telephone, web",2,27241.7,2019-03-01,44444.0
CLI00078,61,9,client_actif,2,app_mobile,ARA,2667.0,1,2044.87,"auto, sante",1,19,6.58,2024-11-16,"agence, app_mobile, email, telephone, web",1,2656.07,2022-07-26,8179.0
CLI00079,78,14,client_actif,4,web,NAQ,3606.0,4,4839.3,"auto, epargne, habitation, sante",1,20,6.55,2024-12-07,"app_mobile, email, telephone, web",1,6701.44,2024-12-24,0.0
CLI00080,25,22,client_actif,1,email,PACA,3117.0,1,313.19,habitation,1,6,7.0,2024-10-31,"email, web",1,9509.7,2024-01-02,12528.0
CLI00081,64,20,prospect,1,app_mobile,IDF,4099.0,1,755.18,auto,3,5,6.4,2024-06-28,"app_mobile, telephone",3,15004.07,2023-11-13,755.0
CLI00082,52,20,client_actif,2,web,ARA,3480.0,1,1648.23,"prevoyance, sante",2,12,6.33,2024-12-14,"email, telephone, web",2,29940.26,2022-07-19,21427.0
CLI00083,31,10,client_inactif,1,app_mobile,PACA,3616.0,0,258.54,habitation,2,4,5.5,2024-04-19,"agence, app_mobile, email",2,19981.69,2024-05-10,8790.0
CLI00084,34,12,client_actif,5,web,BFC,4143.0,3,4395.26,"auto, epargne, habitation, prevoyance, sante",1,18,5.78,2024-05-05,"agence, app_mobile, telephone, web",1,12068.68,2022-05-29,136253.0
CLI00085,53,4,client_inactif,1,agence,NAQ,2531.0,1,1306.28,sante,0,2,5.5,2024-05-26,"agence, telephone",0,0.0,,15675.0
CLI00086,67,0,client_actif,3,telephone,NAQ,2261.0,3,2424.77,"auto, habitation, sante",2,8,6.62,2024-11-15,"email, telephone, web",1,3511.43,2024-12-31,0.0
CLI00087,57,23,client_inactif,2,telephone,BFC,1589.0,0,1822.4,"prevoyance, sante",1,4,7.0,2024-11-06,"email, telephone",1,796.47,2017-02-15,14579.0
CLI00088,21,11,client_actif,2,web,PACA,2610.0,1,1672.88,"habitation, sante",0,21,6.67,2024-12-14,"agence, app_mobile, telephone, web",0,0.0,,73607.0
CLI00089,19,10,client_actif,1,web,IDF,1622.0,0,1279.52,sante,1,6,7.67,2024-11-27,"agence, email, telephone, web",1,541.44,2024-12-05,58858.0
CLI00090,79,16,client_actif,2,web,PACA,3129.0,1,2422.01,"epargne, habitation",2,6,6.0,2024-12-31,web,2,58083.24,2022-04-23,0.0
CLI00091,23,3,client_actif,2,agence,PACA,2248.0,1,1523.85,"prevoyance, sante",2,10,7.5,2024-08-08,"agence, email",2,31825.08,2024-05-13,64002.0
CLI00092,71,14,client_inactif,1,app_mobile,OCC,3666.0,1,616.27,auto,0,4,7.5,2024-10-02,"agence, app_mobile",0,0.0,,0.0
CLI00093,59,24,client_actif,4,app_mobile,NAQ,3501.0,4,4359.31,"auto, epargne, habitation, sante",2,11,6.27,2024-12-26,"agence, app_mobile, telephone, web",2,3933.19,2020-10-15,26156.0
CLI00094,21,8,client_actif,1,telephone,IDF,2449.0,1,588.6,auto,0,5,5.6,2024-11-20,"telephone, web",0,0.0,,25898.0
CLI00095,71,20,client_inactif,2,web,NAQ,3679.0,0,1009.83,"auto, prevoyance",1,4,6.5,2024-12-19,"agence, email, web",1,4757.36,2020-04-17,0.0
CLI00096,46,19,client_actif,2,web,BFC,2934.0,2,1389.65,"prevoyance, sante",1,22,5.27,2024-12-28,"app_mobile, email, telephone, web",1,17682.31,2021-03-29,26403.0
CLI00097,35,18,client_actif,1,web,PACA,1206.0,1,1798.69,epargne,1,15,6.33,2024-09-24,"agence, app_mobile, email, telephone, web",1,5832.86,2023-05-13,53961.0
CLI00098,43,18,client_actif,4,web,BFC,1910.0,4,4182.16,"auto, epargne, habitation, sante",1,10,5.5,2024-07-16,"agence, app_mobile, email, telephone, web",1,499.21,2024-02-20,92008.0
CLI00099,61,11,client_actif,2,web,NAQ,2148.0,1,993.82,"auto, prevoyance",0,13,5.31,2024-12-28,"agence, app_mobile, email, telephone, web",0,0.0,,3975.0
CLI00100,51,4,client_actif,1,app_mobile,OCC,2809.0,1,290.19,habitation,1,10,6.4,2024-10-04,"agence, app_mobile, telephone, web",1,11228.99,2024-11-30,4063.0
CLI00101,27,9,client_actif,2,web,OCC,2414.0,2,1673.49,"prevoyance, sante",1,6,4.83,2024-11-01,"agence, app_mobile, web",1,19787.78,2021-07-30,63593.0
CLI00102,79,16,résilié,2,web,IDF,2324.0,0,1235.98,"auto, prevoyance",1,2,5.0,2024-02-10,app_mobile,1,8725.63,2024-09-02,0.0
CLI00103,53,4,client_actif,2,agence,PACA,3323.0,2,2855.15,"epargne, prevoyance",0,8,8.0,2024-11-02,"agence, telephone, web",0,0.0,,34262.0
CLI00104,31,21,client_actif,3,web,IDF,3508.0,3,3042.1,"auto, epargne, habitation",5,6,6.5,2024-10-18,"app_mobile, telephone, web",5,72755.87,2024-05-18,103431.0
CLI00105,48,15,client_actif,1,agence,OCC,2243.0,1,969.95,sante,0,16,7.06,2024-12-08,"agence, email, web",0,0.0,,16489.0
CLI00106,65,6,résilié,1,web,OCC,2035.0,0,1264.24,sante,3,1,6.0,2024-03-09,web,3,2866.31,2024-07-24,0.0
CLI00107,32,8,client_inactif,3,app_mobile,IDF,3938.0,3,2949.92,"epargne, habitation, sante",5,2,4.0,2024-06-07,app_mobile,5,20150.35,2024-11-10,97347.0
CLI00108,25,2,client_actif,1,telephone,OCC,5253.0,1,1085.63,sante,1,6,4.67,2024-02-05,"app_mobile, telephone, web",1,1443.11,2024-06-26,43425.0
CLI00109,31,14,client_inactif,4,web,ARA,1952.0,0,2790.46,"auto, habitation, prevoyance, sante",3,4,5.25,2024-05-23,"email, web",3,25812.47,2020-08-19,94876.0
CLI00110,40,15,client_actif,1,app_mobile,NAQ,3602.0,1,2156.33,epargne,1,21,5.95,2024-09-29,"agence, app_mobile, email, telephone, web",1,7499.06,2022-07-31,53908.0
CLI00111,77,17,client_actif,3,telephone,PACA,2675.0,2,4266.61,"auto, epargne, sante",5,6,6.17,2024-10-13,"email, telephone, web",5,164306.69,2024-03-16,0.0
CLI00112,74,13,client_actif,2,app_mobile,NAQ,3408.0,1,1083.62,"auto, prevoyance",0,15,5.67,2024-12-22,"agence, app_mobile, telephone, web",0,0.0,,0.0
CLI00113,79,2,client_actif,2,web,PACA,1942.0,2,1696.92,"auto, sante",3,9,5.67,2024-11-24,"telephone, web",3,5993.91,2024-11-01,0.0
CLI00114,57,11,client_actif,1,app_mobile,OCC,1673.0,1,768.61,auto,1,17,6.41,2024-10-24,"agence, app_mobile, email, web",1,6758.21,2023-12-16,6149.0
CLI00115,38,8,résilié,1,agence,IDF,1790.0,0,295.74,habitation,1,1,6.0,2024-06-26,agence,1,14852.76,2024-12-28,7985.0
CLI00116,33,6,client_actif,1,telephone,IDF,2292.0,1,283.92,habitation,0,22,7.64,2024-12-22,"agence, app_mobile, email, telephone, web",0,0.0,,9085.0
CLI00117,62,8,résilié,1,web,OCC,2589.0,0,463.44,prevoyance,0,3,6.33,2024-09-18,web,0,0.0,,1390.0
CLI00118,35,12,client_actif,1,web,PACA,3651.0,0,1406.0,sante,3,17,5.53,2024-08-31,"agence, app_mobile, email, telephone, web",3,5318.98,2024-03-23,42180.0
CLI00119,64,17,client_actif,2,web,OCC,2050.0,1,1393.9,"prevoyance, sante",1,8,5.75,2024-11-07,web,1,244.41,2017-05-08,1394.0
CLI00120,70,4,client_actif,2,web,PACA,2226.0,2,2030.47,"epargne, habitation",0,24,5.92,2024-12-18,"agence, app_mobile, email, telephone, web",0,0.0,,0.0
CLI00121,41,12,prospect,3,web,OCC,2814.0,1,2485.7,"epargne, habitation, prevoyance",4,7,6.14,2024-12-13,"app_mobile, web",4,35046.07,2023-09-22,59657.0
CLI00122,43,3,client_actif,3,web,OCC,2848.0,2,2203.38,"auto, habitation, sante",3,21,6.24,2024-12-27,"agence, app_mobile, email, telephone, web",3,3217.16,2024-11-22,48474.0
CLI00123,42,1,prospect,2,web,OCC,3057.0,1,1555.53,"habitation, sante",3,7,7.0,2024-12-30,"agence, email, telephone, web",3,4198.95,2024-07-10,35777.0
CLI00124,77,15,client_actif,2,web,IDF,3471.0,2,1717.18,"auto, sante",3,20,6.05,2024-11-28,"agence, app_mobile, email, web",3,2092.0,2022-04-24,0.0
CLI00125,77,8,client_actif,2,telephone,PACA,2329.0,1,2582.66,"auto, epargne",1,23,6.96,2024-12-11,"agence, app_mobile, email, telephone, web",1,7536.21,2021-03-12,0.0
CLI00126,77,8,client_inactif,2,web,BFC,2783.0,1,1359.3,"prevoyance, sante",0,2,4.0,2024-08-31,"agence, web",0,0.0,,0.0
CLI00127,62,5,client_actif,3,web,OCC,2510.0,2,3016.44,"epargne, prevoyance, sante",0,17,6.12,2024-12-21,"agence, app_mobile, telephone, web",0,0.0,,9049.0
CLI00128,58,10,client_actif,1,web,NAQ,2725.0,1,1942.08,epargne,0,21,6.05,2024-12-07,"agence, app_mobile, email, telephone, web",0,0.0,,13595.0
CLI00129,46,21,client_actif,1,telephone,NAQ,3559.0,1,2117.04,epargne,3,6,6.33,2024-05-25,"telephone, web",3,105205.08,2024-12-17,40224.0
CLI00130,32,23,résilié,3,agence,IDF,3407.0,0,3161.04,"auto, epargne, habitation",2,2,5.5,2024-05-24,"agence, web",2,40889.98,2024-04-25,104314.0
CLI00131,62,21,client_inactif,1,agence,ARA,1200.0,1,1417.27,sante,1,4,7.0,2024-06-04,"agence, email",1,1294.9,2020-10-03,4252.0
CLI00132,18,0,client_actif,4,web,BFC,3698.0,4,4114.95,"auto, epargne, habitation, sante",1,19,6.21,2024-11-03,"app_mobile, email, telephone, web",1,41853.74,2024-12-30,193403.0
CLI00133,42,3,client_actif,4,telephone,IDF,2489.0,2,4224.22,"epargne, habitation, prevoyance, sante",1,21,6.33,2024-12-29,"agence, app_mobile, email, telephone",1,10290.84,2024-07-25,97157.0
CLI00134,24,12,prospect,1,app_mobile,ARA,3155.0,1,1410.95,sante,0,2,7.0,2024-11-30,app_mobile,0,0.0,,57849.0
CLI00135,26,22,résilié,1,web,IDF,2433.0,0,2066.9,epargne,1,1,4.0,2024-06-10,web,1,14922.89,2023-07-09,80609.0
CLI00136,41,12,client_actif,2,app_mobile,NAQ,2753.0,1,2238.04,"epargne, prevoyance",1,18,5.72,2024-11-15,"agence, app_mobile, email, web",1,21264.1,2024-02-19,53713.0
CLI00137,18,12,client_actif,2,telephone,OCC,3984.0,1,1422.1,"prevoyance, sante",1,23,6.3,2024-12-18,"agence, email, telephone, web",1,6097.58,2023-10-03,66839.0
CLI00138,61,1,client_actif,1,agence,PACA,3102.0,1,1414.54,sante,1,19,7.37,2024-08-02,"agence, telephone",1,173.67,2024-11-18,5658.0
CLI00139,25,8,prospect,3,telephone,OCC,3938.0,1,2863.01,"epargne, habitation, prevoyance",3,4,6.75,2024-10-03,"app_mobile, telephone, web",3,34782.93,2024-10-09,114520.0
CLI00140,41,23,résilié,2,telephone,NAQ,2754.0,0,793.19,"auto, habitation",1,2,7.0,2024-08-27,telephone,1,2363.07,2009-04-30,19037.0
CLI00141,28,7,client_actif,1,web,PACA,2661.0,0,1428.59,sante,4,22,5.41,2024-11-09,"agence, email, telephone, web",4,3998.17,2024-10-07,52858.0
CLI00142,68,6,client_actif,1,app_mobile,ARA,2811.0,1,570.84,auto,4,12,6.08,2024-11-22,"app_mobile, email, telephone, web",4,8732.54,2022-08-04,0.0
CLI00143,34,3,client_actif,3,web,ARA,1657.0,3,1977.23,"habitation, prevoyance, sante",1,21,6.62,2024-12-03,"agence, app_mobile, email, telephone, web",1,2683.16,2024-10-16,61294.0
CLI00144,25,17,client_inactif,1,telephone,NAQ,1200.0,0,1628.88,epargne,1,1,7.0,2024-07-02,telephone,1,36014.69,2021-08-01,65155.0
CLI00145,52,2,client_inactif,3,web,PACA,2097.0,2,2574.72,"epargne, habitation, prevoyance",6,2,4.5,2024-09-18,web,6,122497.63,2024-12-30,33471.0
CLI00146,52,5,client_actif,2,telephone,OCC,3725.0,2,892.7,"auto, habitation",1,8,7.0,2024-12-23,"app_mobile, email, telephone, web",1,12158.67,2023-12-22,11605.0
CLI00147,50,11,client_actif,2,web,NAQ,4078.0,1,752.7,"habitation, prevoyance",1,15,5.4,2024-12-29,"email, telephone, web",1,13346.79,2024-03-31,11290.0
CLI00148,76,11,client_inactif,4,app_mobile,ARA,1200.0,1,2379.75,"auto, habitation, prevoyance, sante",6,4,7.75,2024-09-12,"agence, app_mobile, telephone",6,47695.94,2024-06-17,0.0
CLI00149,22,20,prospect,4,web,NAQ,3958.0,4,4264.48,"auto, epargne, habitation, sante",1,4,6.25,2024-12-11,"email, web",1,5915.77,2024-05-28,183373.0
CLI00150,59,7,client_actif,2,web,OCC,2267.0,1,1570.0,"habitation, sante",3,11,6.09,2024-12-18,"agence, app_mobile, telephone, web",3,2249.89,2021-03-23,9420.0
CLI00151,56,21,client_actif,1,telephone,IDF,1516.0,1,732.76,auto,4,12,6.75,2024-11-23,"agence, app_mobile, telephone, web",4,12757.69,2022-06-27,6595.0
CLI00152,75,21,résilié,3,web,BFC,3753.0,0,4472.88,"auto, epargne, sante",1,2,6.5,2024-12-06,web,1,2627.14,2023-07-09,0.0
CLI00153,58,0,client_actif,2,app_mobile,BFC,2345.0,1,1550.15,"prevoyance, sante",0,15,6.67,2024-08-08,"agence, app_mobile, web",0,0.0,,10851.0
CLI00154,45,3,client_inactif,1,web,BFC,5154.0,0,425.86,prevoyance,1,2,8.0,2024-07-27,web,1,6776.93,2023-05-10,8517.0
CLI00155,24,20,client_actif,4,app_mobile,IDF,2194.0,4,2944.53,"auto, habitation, prevoyance, sante",1,12,5.83,2024-12-28,"agence, app_mobile, email, telephone",1,5249.04,2023-05-05,120726.0
CLI00156,26,10,client_actif,1,web,OCC,2551.0,1,995.57,sante,0,19,6.37,2024-08-28,"agence, app_mobile, email, telephone, web",0,0.0,,38827.0
