client_id,age,anciennete_ans,statut,nb_produits,canal_principal,region,revenu_mensuel
CLI00099,61,11,client_actif,2,web,NAQ,2148.0
CLI00100,51,4,client_actif,1,app_mobile,OCC,2809.0
CLI00101,27,9,client_actif,2,web,OCC,2414.0
CLI00102,79,16,résilié,2,web,IDF,2324.0
CLI00103,53,4,client_actif,2,agence,PACA,3323.0
CLI00104,31,21,client_actif,3,web,IDF,3508.0
CLI00105,48,15,client_actif,1,agence,OCC,2243.0
CLI00106,65,6,résilié,1,web,OCC,2035.0
CLI00107,32,8,client_inactif,3,app_mobile,IDF,3938.0
CLI00108,25,2,client_actif,1,telephone,OCC,5253.0
CLI00109,31,14,client_inactif,4,web,ARA,1952.0
CLI00110,40,15,client_actif,1,app_mobile,NAQ,3602.0
CLI00111,77,17,client_actif,3,telephone,PACA,2675.0
CLI00112,74,13,client_actif,2,app_mobile,NAQ,3408.0
CLI00113,79,2,client_actif,2,web,PACA,1942.0
CLI00114,57,11,client_actif,1,app_mobile,OCC,1673.0
CLI00115,38,8,résilié,1,agence,IDF,1790.0
CLI00116,33,6,client_actif,1,telephone,IDF,2292.0
CLI00117,62,8,résilié,1,web,OCC,2589.0
CLI00118,35,12,client_actif,1,web,PACA,3651.0
CLI00119,64,17,client_actif,2,web,OCC,2050.0
CLI00120,70,4,client_actif,2,web,PACA,2226.0
CLI00121,41,12,prospect,3,web,OCC,4672.0
CLI00122,43,3,client_actif,3,web,OCC,2848.0
CLI00123,42,1,prospect,2,web,OCC,3057.0
CLI00124,77,15,client_actif,2,web,IDF,3471.0
CLI00125,77,8,client_actif,2,telephone,PACA,2329.0
CLI00126,77,8,client_inactif,2,web,BFC,2783.0
CLI00127,62,5,client_actif,3,web,OCC,2510.0
CLI00128,58,10,client_actif,1,web,NAQ,2725.0
CLI00129,46,21,client_actif,1,telephone,NAQ,3559.0
CLI00130,32,23,résilié,3,agence,IDF,3407.0
CLI00131,62,21,client_inactif,1,agence,ARA,1200.0
CLI00132,18,0,client_actif,4,web,BFC,3698.0
CLI00133,42,3,client_actif,4,telephone,IDF,2489.0
CLI00134,24,12,prospect,1,app_mobile,ARA,3155.0
CLI00135,26,22,résilié,1,web,IDF,2433.0
CLI00136,41,12,client_actif,2,app_mobile,NAQ,2753.0
CLI00137,18,12,client_actif,2,telephone,OCC,3984.0
CLI00138,61,1,client_actif,1,agence,PACA,3102.0
CLI00139,25,8,prospect,3,telephone,OCC,3938.0
CLI00140,41,23,résilié,2,telephone,NAQ,2754.0
CLI00141,28,7,client_actif,1,web,PACA,2661.0
CLI00142,68,6,client_actif,1,app_mobile,ARA,2811.0
CLI00143,34,3,client_actif,3,web,ARA,1657.0
CLI00144,25,17,client_inactif,1,telephone,NAQ,1200.0
CLI00145,52,2,client_inactif,3,web,PACA,2097.0
CLI00146,52,5,client_actif,2,telephone,OCC,3725.0
CLI00147,50,11,client_actif,2,web,NAQ,4078.0
CLI00148,76,11,client_inactif,4,app_mobile,ARA,1200.0
CLI00149,22,20,prospect,4,web,NAQ,3958.0
CLI00150,59,7,client_actif,2,web,OCC,2267.0
CLI00151,56,21,client_actif,1,telephone,IDF,1516.0
CLI00152,75,21,résilié,3,web,BFC,3753.0
CLI00153,58,0,client_actif,2,app_mobile,BFC,2345.0
CLI00154,45,3,client_inactif,1,web,BFC,5154.0
CLI00155,24,20,client_actif,4,app_mobile,IDF,2194.0
CLI00156,26,10,client_actif,1,web,OCC,2551.0
CLI00157,25,2,client_actif,1,web,PACA,1921.0
CLI00158,29,12,client_actif,1,telephone,NAQ,2935.0
CLI00159,51,24,client_actif,2,app_mobile,OCC,3517.0
CLI00160,50,16,client_actif,3,web,IDF,1243.0
CLI00161,65,21,prospect,1,app_mobile,ARA,3390.0
CLI00162,72,21,client_inactif,1,web,BFC,2432.0
CLI00163,40,9,résilié,1,web,BFC,2025.0
CLI00164,79,20,client_actif,3,app_mobile,OCC,1539.0
CLI00165,41,11,client_actif,1,web,BFC,3681.0
CLI00166,54,14,prospect,4,agence,BFC,3058.0
CLI00167,52,20,client_actif,1,app_mobile,OCC,2276.0
CLI00168,61,9,client_inactif,5,agence,OCC,3502.0
CLI00169,57,13,prospect,1,telephone,IDF,3277.0
CLI00170,39,12,client_actif,3,web,IDF,3581.0
CLI00171,44,4,client_inactif,1,web,BFC,4277.0
CLI00172,52,5,client_actif,1,web,OCC,2996.0
CLI00173,18,23,prospect,4,web,OCC,4539.0
CLI00174,52,1,client_actif,4,telephone,BFC,4085.0
CLI00175,54,21,client_actif,2,agence,PACA,3505.0
CLI00176,64,16,client_actif,3,app_mobile,ARA,1278.0
CLI00177,31,3,client_inactif,2,app_mobile,NAQ,2899.0
CLI00178,20,13,client_inactif,4,web,NAQ,3022.0
CLI00179,18,9,client_actif,1,app_mobile,BFC,2994.0
CLI00180,22,2,résilié,2,agence,NAQ,2701.0
CLI00181,43,24,client_actif,2,app_mobile,IDF,3381.0
CLI00182,72,2,client_inactif,2,web,IDF,3501.0
CLI00183,31,14,client_actif,4,agence,PACA,1295.0
CLI00184,56,5,client_inactif,1,app_mobile,BFC,4019.0
CLI00185,44,16,résilié,1,app_mobile,IDF,1471.0
CLI00186,26,11,prospect,2,app_mobile,BFC,2435.0
CLI00187,32,21,résilié,3,app_mobile,BFC,2001.0
CLI00188,32,19,client_inactif,1,agence,OCC,2150.0
CLI00189,43,23,client_inactif,2,telephone,ARA,3778.0
CLI00190,59,10,client_actif,4,web,ARA,2909.0
CLI00191,77,24,client_inactif,1,telephone,BFC,3414.0
CLI00192,30,3,client_inactif,3,app_mobile,ARA,3369.0
CLI00193,68,5,client_actif,3,agence,ARA,1200.0
CLI00194,49,0,résilié,2,telephone,NAQ,2298.0
CLI00195,56,19,prospect,4,app_mobile,NAQ,3474.0
CLI00196,66,22,prospect,3,telephone,OCC,3391.0
CLI00197,69,15,client_actif,2,web,PACA,1219.0
CLI00198,78,14,client_actif,2,web,IDF,3727.0
CLI00199,49,16,client_actif,3,agence,IDF,3354.0
CLI00200,21,7,prospect,2,telephone,NAQ,1933.0
CLI00201,47,11,résilié,4,telephone,BFC,3168.0
CLI00202,54,21,prospect,2,agence,ARA,2594.0
CLI00203,40,20,prospect,1,app_mobile,OCC,3243.0
CLI00204,56,9,prospect,1,web,PACA,1200.0
CLI00205,62,14,client_actif,1,email,NAQ,2483.0
CLI00206,32,8,résilié,1,web,BFC,3863.0
CLI00207,60,1,client_actif,4,agence,OCC,3285.0
CLI00208,46,4,client_inactif,3,app_mobile,BFC,3512.0
CLI00209,53,5,prospect,3,agence,OCC,2590.0
CLI00210,30,6,client_actif,2,app_mobile,NAQ,3308.0
CLI00211,49,20,client_actif,3,email,OCC,2653.0
CLI00212,24,24,client_actif,2,app_mobile,ARA,1968.0
CLI00213,76,0,prospect,4,telephone,OCC,2573.0
CLI00214,68,22,client_actif,2,web,PACA,4109.0
CLI00215,39,6,client_actif,4,app_mobile,OCC,3819.0
CLI00216,45,19,client_inactif,3,agence,IDF,1907.0
CLI00217,19,24,client_actif,1,agence,OCC,2424.0
CLI00218,59,11,prospect,2,telephone,BFC,1968.0
CLI00219,62,15,client_actif,2,web,NAQ,2962.0
CLI00220,79,15,client_actif,1,web,IDF,3698.0
CLI00221,74,10,client_inactif,2,app_mobile,NAQ,4629.0
CLI00222,70,20,client_actif,1,web,BFC,1515.0
CLI00223,23,3,client_actif,1,email,PACA,3573.0
CLI00224,45,12,résilié,4,web,ARA,2793.0
CLI00225,45,6,client_actif,2,app_mobile,PACA,2470.0
CLI00226,61,3,prospect,4,web,IDF,1958.0
CLI00227,61,14,client_actif,3,app_mobile,BFC,4402.0
CLI00228,37,18,client_actif,2,app_mobile,BFC,1334.0
CLI00229,47,8,client_inactif,2,web,ARA,2359.0
CLI00230,79,10,client_inactif,3,web,OCC,3131.0
CLI00231,28,7,résilié,5,app_mobile,IDF,3208.0
CLI00232,75,0,client_actif,1,email,ARA,3922.0
CLI00233,72,22,client_actif,4,web,NAQ,2007.0
CLI00234,45,24,client_inactif,4,app_mobile,ARA,3362.0
CLI00235,42,23,prospect,3,email,NAQ,2743.0
CLI00236,56,7,client_actif,4,agence,NAQ,2836.0
CLI00237,79,12,client_actif,2,email,BFC,2386.0
CLI00238,50,21,prospect,5,email,ARA,2946.0
CLI00239,18,3,client_actif,3,app_mobile,BFC,2672.0
CLI00240,74,7,client_inactif,1,agence,BFC,2479.0
CLI00241,44,2,client_inactif,4,web,PACA,2327.0
CLI00242,79,8,prospect,2,app_mobile,PACA,3135.0
CLI00243,74,1,prospect,2,telephone,BFC,1602.0
CLI00244,69,1,client_actif,2,app_mobile,BFC,2627.0
CLI00245,30,12,client_inactif,1,agence,NAQ,2109.0
CLI00246,58,14,prospect,2,agence,BFC,2689.0
CLI00247,20,22,client_inactif,3,web,IDF,2701.0
CLI00248,56,11,prospect,1,telephone,ARA,3580.0
CLI00249,23,3,client_actif,1,app_mobile,IDF,3393.0
CLI00250,25,7,client_actif,1,web,PACA,3063.0
CLI00251,44,8,client_inactif,2,telephone,IDF,2955.0
CLI00252,26,22,client_actif,3,app_mobile,OCC,2628.0
CLI00253,79,4,client_actif,3,agence,OCC,2612.0
CLI00254,54,23,client_actif,4,app_mobile,PACA,1227.0
CLI00255,50,19,client_inactif,2,app_mobile,IDF,3460.0
CLI00256,68,17,client_inactif,1,telephone,ARA,3040.0
CLI00257,59,10,prospect,4,app_mobile,PACA,3880.0
CLI00258,61,14,client_inactif,3,app_mobile,OCC,2301.0
CLI00259,41,21,client_actif,2,web,PACA,3934.0
CLI00260,32,8,prospect,3,telephone,IDF,2627.0
CLI00261,76,16,client_actif,4,web,IDF,2284.0
CLI00262,71,11,client_actif,3,telephone,IDF,4191.0
CLI00263,49,6,client_inactif,2,app_mobile,NAQ,3128.0
CLI00264,49,9,client_inactif,3,agence,IDF,4304.0
CLI00265,41,24,prospect,1,telephone,BFC,2953.0
CLI00266,58,24,client_actif,2,web,OCC,3527.0
CLI00267,69,9,client_inactif,2,app_mobile,OCC,3726.0
CLI00268,66,12,résilié,1,agence,NAQ,2547.0
CLI00269,79,18,client_actif,1,agence,OCC,3111.0
CLI00270,66,10,résilié,1,app_mobile,OCC,2939.0
CLI00271,75,12,client_actif,3,agence,PACA,3549.0
CLI00272,69,20,client_actif,3,agence,IDF,1841.0
CLI00273,29,7,client_inactif,5,telephone,BFC,3341.0
CLI00274,79,7,client_actif,1,agence,BFC,3628.0
CLI00275,56,3,client_actif,2,app_mobile,PACA,2185.0
CLI00276,19,14,client_actif,4,email,BFC,2007.0
CLI00277,20,10,client_inactif,1,app_mobile,PACA,1308.0
CLI00278,66,10,client_inactif,3,web,BFC,4671.0
CLI00279,54,0,client_actif,3,app_mobile,OCC,2141.0
CLI00280,66,16,client_actif,1,web,ARA,4076.0
CLI00281,73,14,client_actif,4,web,IDF,2613.0
CLI00282,34,19,client_actif,3,web,ARA,3788.0
CLI00283,76,5,client_actif,1,web,OCC,3323.0
CLI00284,66,23,client_inactif,1,agence,NAQ,4692.0
CLI00285,19,21,client_actif,1,web,PACA,4101.0
CLI00286,19,24,client_actif,1,web,BFC,2992.0
CLI00287,45,14,prospect,2,web,BFC,3079.0
CLI00288,71,8,client_actif,2,web,OCC,3411.0
CLI00289,40,13,résilié,1,web,BFC,5213.0
CLI00290,54,17,client_actif,4,app_mobile,OCC,2861.0
CLI00291,49,16,client_actif,2,email,ARA,1637.0
CLI00292,50,17,client_actif,1,telephone,NAQ,3020.0
CLI00293,18,4,client_actif,1,telephone,PACA,2223.0
CLI00294,36,19,prospect,2,web,BFC,2990.0
CLI00295,79,19,client_actif,2,web,NAQ,3836.0
CLI00296,19,8,client_actif,1,web,NAQ,3254.0
CLI00297,70,10,client_actif,1,agence,NAQ,2266.0
CLI00298,61,23,client_actif,3,web,IDF,2617.0
CLI00299,43,21,client_actif,5,app_mobile,NAQ,1840.0
CLI00300,49,0,résilié,1,web,OCC,3948.0
CLI00301,23,17,client_actif,2,web,IDF,3539.0
CLI00302,49,5,client_actif,2,email,IDF,1820.0
CLI00303,72,1,client_actif,3,agence,NAQ,5069.0
CLI00304,21,14,client_actif,2,telephone,BFC,2605.0
CLI00305,72,20,client_inactif,4,app_mobile,BFC,3066.0
CLI00306,28,13,client_actif,2,telephone,BFC,2496.0
CLI00307,73,4,client_inactif,2,agence,BFC,3178.0
CLI00308,76,5,prospect,2,telephone,OCC,2885.0
CLI00309,34,5,client_actif,5,web,BFC,1542.0
CLI00310,55,21,client_inactif,3,app_mobile,PACA,3856.0
CLI00311,41,17,client_actif,1,agence,NAQ,2055.0
CLI00312,22,13,client_actif,1,app_mobile,IDF,3625.0
CLI00313,69,9,client_actif,2,telephone,PACA,2591.0
CLI00314,51,13,client_inactif,1,email,BFC,2857.0
CLI00315,23,12,prospect,3,app_mobile,PACA,3234.0
CLI00316,39,2,client_inactif,3,app_mobile,IDF,2924.0
CLI00317,28,5,client_actif,3,app_mobile,BFC,3469.0
CLI00318,65,7,client_inactif,5,telephone,PACA,2163.0
CLI00319,33,11,client_actif,1,agence,OCC,3733.0
CLI00320,50,12,client_inactif,4,web,OCC,1873.0
CLI00321,26,10,client_actif,3,app_mobile,NAQ,1978.0
CLI00322,77,11,résilié,2,web,NAQ,3321.0
CLI00323,76,0,prospect,3,agence,PACA,3745.0
CLI00324,23,16,client_actif,1,web,IDF,3055.0
CLI00325,33,15,client_actif,3,app_mobile,OCC,4143.0
CLI00326,46,10,prospect,2,agence,ARA,2050.0
CLI00327,20,12,client_actif,1,web,NAQ,1751.0
CLI00328,37,17,résilié,3,web,OCC,3554.0
CLI00329,77,10,résilié,2,app_mobile,BFC,2910.0
CLI00330,76,11,client_actif,1,web,PACA,3526.0
CLI00331,53,5,résilié,1,web,OCC,1875.0
CLI00332,36,8,client_actif,2,email,OCC,2401.0
CLI00333,43,15,client_actif,2,telephone,PACA,4369.0
CLI00334,20,3,client_inactif,4,telephone,NAQ,2619.0
CLI00335,36,2,client_actif,4,telephone,NAQ,4084.0
CLI00336,37,15,résilié,2,web,ARA,3499.0
CLI00337,49,23,client_actif,3,web,ARA,2543.0
CLI00338,24,24,client_actif,2,web,NAQ,4071.0
CLI00339,69,11,prospect,3,telephone,NAQ,3094.0
CLI00340,58,10,prospect,1,agence,NAQ,2812.0
CLI00341,50,4,prospect,2,web,NAQ,2728.0
CLI00342,57,24,résilié,2,app_mobile,OCC,3195.0
CLI00343,56,17,client_inactif,1,app_mobile,ARA,1785.0
CLI00344,35,18,client_inactif,3,app_mobile,PACA,3609.0
CLI00345,57,22,client_actif,3,telephone,IDF,3197.0
CLI00346,18,22,client_actif,2,app_mobile,PACA,2286.0
CLI00347,28,5,client_actif,2,telephone,BFC,1658.0
CLI00348,45,21,client_actif,4,app_mobile,IDF,2574.0
CLI00349,74,17,client_actif,3,agence,OCC,3025.0
CLI00350,42,5,client_inactif,1,telephone,BFC,2940.0
CLI00351,67,3,client_actif,1,telephone,ARA,2935.0
CLI00352,40,11,prospect,3,web,IDF,3406.0
CLI00353,48,18,prospect,2,web,NAQ,1764.0
CLI00354,47,1,prospect,1,app_mobile,BFC,2741.0
CLI00355,59,16,client_actif,1,app_mobile,OCC,3068.0
CLI00356,52,10,résilié,4,agence,IDF,3215.0
CLI00357,24,10,client_actif,3,telephone,NAQ,3609.0
CLI00358,77,20,client_inactif,5,web,BFC,2617.0
CLI00359,33,15,client_actif,3,app_mobile,OCC,2848.0
CLI00360,43,1,client_actif,4,web,BFC,2133.0
CLI00361,65,1,prospect,1,telephone,IDF,3149.0
CLI00362,74,22,client_inactif,3,email,NAQ,2017.0
CLI00363,69,7,client_inactif,1,app_mobile,ARA,3316.0
CLI00364,77,12,client_actif,3,web,OCC,3863.0
CLI00365,66,9,client_actif,2,agence,IDF,3221.0
CLI00366,19,7,client_actif,1,agence,NAQ,3955.0
CLI00367,18,3,client_actif,4,app_mobile,ARA,2392.0
CLI00368,65,14,résilié,4,telephone,BFC,1721.0
CLI00369,79,0,client_actif,1,email,NAQ,2654.0
CLI00370,29,10,client_actif,2,app_mobile,ARA,2247.0
CLI00371,22,6,prospect,2,app_mobile,IDF,2356.0
CLI00372,54,16,prospect,2,web,NAQ,1200.0
CLI00373,49,19,client_actif,3,app_mobile,NAQ,2958.0
CLI00374,76,23,prospect,1,app_mobile,PACA,2819.0
CLI00375,72,17,client_inactif,4,web,OCC,3559.0
CLI00376,26,21,client_inactif,1,web,NAQ,3298.0
CLI00377,58,21,prospect,3,web,ARA,2642.0
CLI00378,52,11,client_inactif,3,web,OCC,3622.0
CLI00379,36,8,client_actif,1,app_mobile,IDF,3598.0
CLI00380,65,4,client_actif,1,agence,OCC,2362.0
CLI00381,33,9,client_actif,3,agence,PACA,2976.0
CLI00382,20,3,client_actif,3,app_mobile,IDF,4159.0
CLI00383,37,4,client_actif,1,app_mobile,NAQ,3094.0
CLI00384,41,9,client_actif,2,telephone,BFC,2060.0
CLI00385,71,10,client_actif,1,app_mobile,IDF,1790.0
CLI00386,73,20,résilié,1,email,IDF,1476.0
CLI00387,50,23,prospect,2,app_mobile,PACA,1200.0
CLI00388,41,9,prospect,1,agence,ARA,2364.0
CLI00389,69,7,prospect,3,web,IDF,2643.0
CLI00390,28,1,client_actif,3,agence,ARA,1921.0
CLI00391,66,22,prospect,4,telephone,OCC,2184.0
CLI00392,25,7,client_inactif,3,telephone,BFC,1941.0
CLI00393,53,15,client_actif,4,email,PACA,1378.0
CLI00394,55,21,client_actif,2,web,NAQ,2647.0
CLI00395,57,4,client_actif,2,app_mobile,IDF,3402.0
CLI00396,37,24,client_actif,5,app_mobile,BFC,2341.0
CLI00397,79,2,client_actif,2,app_mobile,BFC,3822.0
CLI00398,52,11,client_actif,1,web,ARA,2938.0
CLI00399,65,12,client_actif,3,telephone,IDF,3604.0
CLI00400,79,12,client_actif,4,telephone,BFC,2829.0
CLI00401,42,9,prospect,3,app_mobile,PACA,3404.0
CLI00402,52,3,résilié,2,web,NAQ,1530.0
CLI00403,42,8,prospect,3,web,OCC,3558.0
CLI00404,46,21,client_inactif,5,agence,OCC,2806.0
CLI00405,35,23,client_inactif,1,web,ARA,3788.0
CLI00406,63,22,client_actif,3,telephone,BFC,2573.0
CLI00407,35,1,prospect,1,agence,OCC,4368.0
CLI00408,19,18,prospect,2,agence,ARA,3280.0
CLI00409,71,0,client_actif,2,app_mobile,NAQ,1985.0
CLI00410,52,24,client_actif,1,web,IDF,3815.0
CLI00411,33,6,client_inactif,1,telephone,PACA,1848.0
CLI00412,78,16,résilié,2,agence,NAQ,1798.0
CLI00413,58,2,client_actif,1,email,NAQ,3960.0
CLI00414,53,19,client_actif,1,app_mobile,OCC,3102.0
CLI00415,50,19,client_actif,3,agence,OCC,2865.0
CLI00416,21,20,client_inactif,1,web,PACA,2346.0
CLI00417,50,2,client_actif,2,agence,IDF,3549.0
CLI00418,31,2,prospect,4,agence,NAQ,2555.0
CLI00419,38,16,client_inactif,1,agence,BFC,2981.0
CLI00420,65,6,client_actif,2,agence,OCC,1785.0
CLI00421,37,13,résilié,2,web,NAQ,2748.0
CLI00422,73,16,client_actif,3,email,IDF,2958.0
CLI00423,25,17,prospect,4,email,ARA,3281.0
CLI00424,24,12,résilié,4,web,IDF,3104.0
CLI00425,20,19,client_actif,3,telephone,NAQ,2500.0
CLI00426,34,19,client_actif,1,web,NAQ,3056.0
CLI00427,50,20,client_actif,1,agence,PACA,3683.0
CLI00428,65,17,prospect,2,web,NAQ,1464.0
CLI00429,29,3,client_actif,1,email,OCC,2651.0
CLI00430,76,0,prospect,3,web,BFC,2988.0
CLI00431,68,17,client_actif,3,app_mobile,PACA,1970.0
CLI00432,39,0,client_actif,1,app_mobile,NAQ,3637.0
CLI00433,72,12,client_inactif,3,web,IDF,3340.0
CLI00434,39,19,client_inactif,1,agence,NAQ,3698.0
CLI00435,63,19,client_actif,2,web,IDF,4744.0
CLI00436,47,22,client_actif,3,agence,IDF,3097.0
CLI00437,55,9,client_actif,2,email,NAQ,2545.0
CLI00438,55,10,client_actif,2,telephone,IDF,3645.0
CLI00439,62,8,client_inactif,1,telephone,BFC,2271.0
CLI00440,68,8,client_inactif,2,app_mobile,ARA,3218.0
CLI00441,71,4,client_actif,3,web,PACA,3733.0
CLI00442,25,0,client_actif,4,app_mobile,NAQ,3549.0
CLI00443,44,16,prospect,2,web,ARA,4067.0
CLI00444,44,21,client_actif,2,telephone,IDF,2554.0
CLI00445,51,1,prospect,3,web,IDF,3438.0
CLI00446,38,23,résilié,4,telephone,PACA,2884.0
CLI00447,47,12,client_inactif,1,web,ARA,3028.0
CLI00448,50,8,client_actif,2,telephone,ARA,3028.0
CLI00449,45,3,client_actif,3,web,NAQ,3285.0
CLI00450,64,4,résilié,2,web,IDF,2770.0
CLI00451,50,10,client_actif,1,agence,OCC,1522.0
CLI00452,22,23,client_actif,2,web,NAQ,2939.0
CLI00453,77,18,client_actif,1,agence,NAQ,3126.0
CLI00454,78,20,client_inactif,2,app_mobile,NAQ,2762.0
CLI00455,65,2,client_actif,2,web,PACA,3192.0
CLI00456,36,11,client_actif,4,telephone,PACA,2689.0
CLI00457,21,18,client_inactif,2,app_mobile,NAQ,2556.0
CLI00458,52,18,client_inactif,1,agence,BFC,4052.0
CLI00459,66,12,résilié,1,app_mobile,OCC,4831.0
CLI00460,34,6,prospect,4,agence,ARA,3592.0
CLI00461,61,14,client_actif,1,web,ARA,2283.0
CLI00462,45,22,client_inactif,2,web,IDF,3003.0
CLI00463,47,6,client_inactif,1,app_mobile,ARA,2935.0
CLI00464,46,7,client_actif,3,app_mobile,ARA,3404.0
CLI00465,63,4,client_actif,2,app_mobile,OCC,2969.0
CLI00466,70,20,client_inactif,2,agence,ARA,3354.0
CLI00467,23,13,client_inactif,2,agence,OCC,4410.0
CLI00468,52,3,prospect,4,web,PACA,1200.0
CLI00469,77,22,client_actif,2,web,OCC,2344.0
